,Average charge voltage (1st cycle),Average discharge voltage (1st cycle),Average charge voltage (10th cycle),Average discharge voltage (10th cycle),Var of avg. chg. Voltage (10 cycles),Var of avg. disch. Voltage (10 cycles),Avg. of Real (Z) (10 cycles),Avg. of Img (Z) (10 cycles),Average charge voltage (first 5% of capacity) - 1st cycle,Average discharge voltage (first 5% of capacity) - 1st cycle,Average charge voltage (first 10% of capacity) - 1st cycle,Average discharge voltage (first 10% of capacity) - 1st cycle,Average charge voltage (first 15% of capacity) - 1st cycle,Average discharge voltage (first 15% of capacity) - 1st cycle,Average charge voltage (between 5% &15% SoC) - 1st cycle,Average discharge voltage (between 5% &15% SoC) - 1st cycle,Average charge voltage (between 10% &15% SoC) - 1st cycle,Average discharge voltage (between 10% &15% SoC) - 1st cycle,Average charge voltage (between 5% &10% SoC) - 1st cycle,Average discharge voltage (between 5% &10% SoC) - 1st cycle,Var delta Re Z,Var delta Im Z
0,1.0,-0.9337187015485542,0.9050166761578242,-0.895016342483471,0.9045855811912007,0.7850954570089321,0.7545339066023997,0.6471129662875608,0.8731539391491775,-0.8697212635379141,0.9294446923307013,-0.906323449661,0.9482365592191453,-0.918613876109658,0.9271454297194096,-0.9252296498227449,0.9185157514979092,-0.9308862501902807,0.9339873111164656,-0.9173929246782624,0.7477327186632038,0.3683708357082536
1,-0.9337187015485543,0.9999999999999999,-0.9656010057300976,0.9767402088577365,-0.7643174546453193,-0.7772122588196442,-0.7819575112920177,-0.7132383414323527,-0.9008142021131804,0.933021649509174,-0.9497730355369203,0.9747514108217161,-0.9546715061077738,0.9843994705082675,-0.9266251664310514,0.9886979228829909,-0.9117572842130824,0.99175366319003,-0.9415158381103678,0.9845534918226915,-0.6990585230946281,-0.4046457682272466
2,0.9050166761578244,-0.9656010057300976,0.9999999999999999,-0.9881330507816454,0.6761237568842016,0.6721042640135981,0.7059869461267356,0.6985230521912934,0.8673997729602178,-0.8638225957879033,0.9053565936225278,-0.9100092384072481,0.9042239398244858,-0.9229031370468689,0.8708590674364675,-0.9315539208282259,0.8581557706039661,-0.9397934726751039,0.8835722549235165,-0.9230117084593049,0.5988886282297751,0.27023219126312503
3,-0.8950163424834711,0.9767402088577365,-0.9881330507816454,1.0,-0.6618383520152851,-0.6483388760567613,-0.734962579592622,-0.713734190687009,-0.8948262522525411,0.8716896517683687,-0.9191943200269966,0.9250115008697173,-0.8991917098747808,0.9397331158150395,-0.8527604219917214,0.9545850169136152,-0.8344347823578614,0.958503955594973,-0.8723489814085139,0.9499900926416628,-0.5592498973104834,-0.27332163976086227
4,0.9045855811912008,-0.7643174546453193,0.6761237568842015,-0.661838352015285,1.0,0.8066085593908562,0.6636846479067036,0.4664947118148033,0.7580843877831847,-0.7730894041437626,0.8337633171014929,-0.7871975310623588,0.8826367209344186,-0.7924919166829052,0.8848795336152561,-0.7859210969860452,0.8874342068301577,-0.7891014444253301,0.8784455601488972,-0.7795000262937295,0.8438251230874798,0.3815213640703805
5,0.7850954570089324,-0.7772122588196444,0.6721042640135982,-0.6483388760567614,0.8066085593908565,1.0,0.5877536565912899,0.44405631722734407,0.6418973304228264,-0.8341527671816723,0.7520382612860771,-0.811768228698793,0.8373198079168088,-0.8019396407403168,0.8769902167138233,-0.7655528683430034,0.882069966757573,-0.7747602631012698,0.8678997113699937,-0.7541866821321118,0.9191991729302351,0.7334299662755661
6,0.7545339066023999,-0.7819575112920177,0.7059869461267356,-0.7349625795926221,0.6636846479067036,0.5877536565912896,1.0,0.7636447579156992,0.6954216045619911,-0.802250292561781,0.754140176747912,-0.830861253189608,0.7739333190171503,-0.833155851534822,0.7613824649837673,-0.82513302535438,0.7450994748613361,-0.8203134863676016,0.7767849440425137,-0.8284225582743964,0.6109674584812615,0.44971970460799293
7,0.6471129662875609,-0.7132383414323527,0.6985230521912934,-0.713734190687009,0.46649471181480334,0.44405631722734396,0.7636447579156991,1.0,0.611396651541618,-0.7150674588309373,0.630117148448632,-0.7254719486920927,0.620678607168489,-0.7185341771533164,0.588462855513579,-0.6960716303567493,0.5723579106987384,-0.6933226709575155,0.6045334139552423,-0.6988079658819254,0.4298177757829365,0.2983965005663015
8,0.8731539391491777,-0.9008142021131805,0.8673997729602176,-0.8948262522525411,0.7580843877831848,0.6418973304228263,0.6954216045619912,0.611396651541618,1.0,-0.8365535416133437,0.9781848660358128,-0.8827113158329548,0.9091095725306692,-0.8953497006911403,0.8214800605742416,-0.9132436244240695,0.7987798376212806,-0.9096828601456568,0.8476027577468033,-0.9152177605323817,0.5383618260042724,0.17144626027403906
9,-0.8697212635379142,0.9330216495091739,-0.8638225957879032,0.8716896517683687,-0.7730894041437626,-0.8341527671816721,-0.8022502925617809,-0.7150674588309373,-0.8365535416133436,1.0,-0.8984493746064325,0.9838663010023254,-0.9245363640032488,0.9704977085184211,-0.9086374822709857,0.9320090275150832,-0.8983616077293971,0.9328109857242084,-0.9176752270179328,0.9295404590708083,-0.7784397609978977,-0.5545378543294266
10,0.9294446923307014,-0.9497730355369202,0.9053565936225277,-0.9191943200269965,0.8337633171014929,0.7520382612860769,0.7541401767479119,0.6301171484486319,0.9781848660358127,-0.8984493746064324,1.0,-0.938642099529057,0.9750666968462522,-0.9493913367825315,0.9213549047208415,-0.9592369371954615,0.9048867517571814,-0.9586769123781003,0.9391211078244359,-0.9579667233052983,0.6869551739570108,0.2962052876325965
11,-0.9063234496610003,0.9747514108217163,-0.9100092384072482,0.9250115008697174,-0.787197531062359,-0.811768228698793,-0.8308612531896081,-0.725471948692093,-0.8827113158329549,0.9838663010023254,-0.9386420995290573,1.0,-0.9534584411983514,0.9975917876285723,-0.9305563708940857,0.9803395530908259,-0.9170836095307123,0.9804997630560724,-0.9434920917180237,0.9790820818677635,-0.7520567371351086,-0.4861968444989661
12,0.9482365592191455,-0.954671506107774,0.9042239398244859,-0.8991917098747809,0.8826367209344188,0.8373198079168087,0.7739333190171502,0.620678607168489,0.909109572530669,-0.9245363640032488,0.9750666968462524,-0.9534584411983513,1.0,-0.9607620890702923,0.9838101712854208,-0.9588242016845744,0.9761087852202901,-0.962243453020548,0.9901657341640412,-0.9533510987805652,0.8159631806358416,0.40531074841891335
13,-0.918613876109658,0.9843994705082674,-0.9229031370468688,0.9397331158150395,-0.7924919166829051,-0.8019396407403164,-0.8331558515348219,-0.7185341771533161,-0.8953497006911402,0.9704977085184209,-0.9493913367825315,0.9975917876285721,-0.960762089070292,1.0,-0.9357742985446987,0.9913034525882455,-0.921559514978521,0.9915310279968028,-0.949629638518997,0.9897972287114267,-0.7399876850189893,-0.456574107241033
14,0.9271454297194098,-0.9266251664310514,0.8708590674364675,-0.8527604219917214,0.8848795336152561,0.876990216713823,0.7613824649837674,0.588462855513579,0.8214800605742416,-0.9086374822709857,0.9213549047208415,-0.9305563708940856,0.9838101712854208,-0.9357742985446987,1.0,-0.9268984899013143,0.9987390210460373,-0.9330028089384231,0.9980804259351261,-0.9187205317298031,0.8895023761631843,0.4853815094329287
15,-0.925229649822745,0.988697922882991,-0.9315539208282259,0.9545850169136153,-0.7859210969860453,-0.7655528683430033,-0.8251330253543799,-0.6960716303567493,-0.9132436244240695,0.9320090275150831,-0.9592369371954618,0.9803395530908258,-0.9588242016845745,0.9913034525882457,-0.9268984899013142,0.9999999999999999,-0.9100784157533806,0.9993769319218921,-0.9441102908993049,0.9993406239863214,-0.6978953717361638,-0.3921297073785693
16,0.9185157514979091,-0.9117572842130823,0.858155770603966,-0.8344347823578613,0.8874342068301576,0.8820699667575728,0.7450994748613361,0.5723579106987383,0.7987798376212805,-0.898361607729397,0.9048867517571815,-0.917083609530712,0.97610878522029,-0.921559514978521,0.9987390210460373,-0.9100784157533806,1.0,-0.9173257904859703,0.9937339827774625,-0.9007104057322532,0.9037259175167179,0.48815895267000453
17,-0.9308862501902809,0.9917536631900299,-0.9397934726751039,0.958503955594973,-0.7891014444253301,-0.7747602631012697,-0.8203134863676016,-0.6933226709575157,-0.9096828601456569,0.9328109857242083,-0.9586769123781004,0.9804997630560723,-0.9622434530205481,0.9915310279968029,-0.933002808938423,0.9993769319218921,-0.9173257904859704,1.0,-0.9488210952339197,0.9975372419710561,-0.7065368961821892,-0.39633042265873863
18,0.9339873111164659,-0.9415158381103679,0.8835722549235167,-0.8723489814085139,0.8784455601488974,0.8678997113699937,0.7767849440425137,0.6045334139552424,0.8476027577468035,-0.917675227017933,0.9391211078244361,-0.9434920917180236,0.9901657341640412,-0.9496296385189972,0.9980804259351264,-0.944110290899305,0.9937339827774627,-0.9488210952339198,0.9999999999999999,-0.9374091324185369,0.8684652358508373,0.47843736245162505
19,-0.9173929246782625,0.9845534918226915,-0.9230117084593048,0.9499900926416628,-0.7795000262937295,-0.7541866821321117,-0.8284225582743965,-0.6988079658819254,-0.9152177605323817,0.9295404590708082,-0.9579667233052984,0.9790820818677632,-0.9533510987805653,0.989797228711427,-0.9187205317298032,0.9993406239863214,-0.9007104057322535,0.997537241971056,-0.9374091324185367,0.9999999999999999,-0.6871798098926926,-0.38692379875760985
20,0.7477327186632038,-0.6990585230946281,0.5988886282297751,-0.5592498973104834,0.8438251230874799,0.9191991729302349,0.6109674584812615,0.4298177757829365,0.5383618260042724,-0.7784397609978976,0.6869551739570109,-0.7520567371351085,0.8159631806358417,-0.7399876850189895,0.8895023761631843,-0.6978953717361638,0.903725917516718,-0.7065368961821892,0.8684652358508371,-0.6871798098926926,1.0,0.6897025231774132
21,0.3683708357082537,-0.4046457682272467,0.2702321912631251,-0.2733216397608623,0.3815213640703806,0.7334299662755661,0.449719704607993,0.29839650056630157,0.1714462602740391,-0.5545378543294266,0.29620528763259657,-0.4861968444989661,0.40531074841891335,-0.4565741072410331,0.4853815094329287,-0.3921297073785694,0.48815895267000464,-0.3963304226587387,0.478437362451625,-0.3869237987576099,0.6897025231774133,1.0
