battery,life cycle
1,210
2,190
3,211
4,203
5,170
6,204
7,166
8,168
9,98
10,188
11,165
12,89
13,141
14,152
15,161
16,162
17,209
18,43
19,69
20,87
21,110
22,112
23,143
24,300
25,300
26,300
27,290
28,300
29,300
30,193
31,124
32,266
33,300
34,279
35,250
36,213
37,187
38,300
39,290
40,300
41,249
42,300
43,180
44,80
45,70
46,83
47,77
48,74
49,73
