cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
5.0,9997.999,8.4102945,1.9710244,8.63817056801529,-13.189717115771126
5.0,6812.999,9.135685,2.1715631,9.390230386764033,-13.371129223229746
5.0,4642.0,9.7284746,2.2738626,9.99067911438076,-13.15572074161407
5.0,3162.0007,10.318233,2.3523283,10.582975983780265,-12.842675000152516
5.0,2154.0,10.906281,2.4053872,11.168386312842372,-12.437507628378764
5.0,1467.9995,11.507158,2.4831178,11.77202443276605,-12.177080678863698
5.0,998.00061,12.129554,2.5508232,12.394869068956488,-11.876141307709467
5.0,680.99933,12.763373,2.6179132,13.029088988101325,-11.591250972065607
5.0,463.99887,13.430153,2.670253,13.693036941723994,-11.245196271937573
5.0,316.00006,14.107386,2.7055943,14.364490254415173,-10.85668057909749
5.0,215.00046,14.790056,2.7339752,15.040624218341174,-10.473032883749568
5.0,146.99995,15.472753,2.7483053,15.714937716103654,-10.071960030176756
5.0,102.00077,16.140108,2.7429314,16.37152280384357,-9.644985107675318
5.0,68.000511,16.888983,2.7203743,17.10667071952896,-9.1502607438388
5.0,46.000347,17.59902,2.6449792,17.796668787411665,-8.547086649165541
5.0,32.00024,18.257513,2.5421219,18.433642198427,-7.926731337065233
5.0,22.000166,18.875717,2.3790407,19.025049984595192,-7.183516344080263
5.0,14.99895,19.431141,2.2130103,19.556754719272497,-6.497413474954484
5.0,10.000075,19.934311,2.0374897,20.038166565889384,-5.8359462155676
5.0,6.998889,20.313911,1.9287794,20.405273095202265,-5.423899385065356
5.0,4.9988737,20.643639,1.8829201,20.729332340075622,-5.211565895184573
5.0,2.9988587,21.090546,1.9527291,21.180752619208384,-5.289813913918166
5.0,2.000015,21.467453,2.1159029,21.5714761523044,-5.6290794777789905
5.0,0.99884343,22.261757,2.7458203,22.430455943804198,-7.031489467338037
5.0,0.99884343,22.205168,2.6429412,22.361901173533557,-6.787623122760233
5.0,0.0,0.0,0.0,0.0,
6.0,9997.999,8.3758812,1.9043497,8.589641066796885,-12.80908155531175
6.0,6812.999,9.070365,2.1290975,9.316897412643936,-13.209954263957888
6.0,4642.0,9.6416254,2.2118394,9.892076318211336,-12.920395251301679
6.0,3162.0007,10.208619,2.2769825,10.459471840990217,-12.573728883845025
6.0,2154.0,10.777034,2.3315635,11.026361602617985,-12.2075486350707
6.0,1467.9995,11.350439,2.3931994,11.599994347450405,-11.906219006240084
6.0,998.00061,11.944634,2.4661088,12.196555825617061,-11.665471738900171
6.0,680.99933,12.559048,2.539789,12.813282749975707,-11.432615444232452
6.0,463.99887,13.198596,2.5983922,13.451935860545754,-11.137326544084747
6.0,316.00006,13.858802,2.6421149,14.108407564994925,-10.793645355011826
6.0,215.00046,14.534901,2.6776795,14.77948965913645,-10.43822923504026
6.0,146.99995,15.203467,2.698257,15.441049176080554,-10.063859963400992
6.0,102.00077,15.852678,2.7117598,16.08294254745008,-9.707065049559493
6.0,68.000511,16.587099,2.6918881,16.804110056135748,-9.218054928316322
6.0,46.000347,17.307142,2.6486654,17.50864336861429,-8.700972110966521
6.0,32.00024,17.957605,2.5565367,18.13867297335921,-8.102473778342441
6.0,22.000166,18.585615,2.4111784,18.741367778389378,-7.391900652390993
6.0,14.99895,19.158821,2.2381167,19.289105434748908,-6.663042798813968
6.0,10.000075,19.670822,2.0687897,19.779310629506533,-6.003753782691051
6.0,6.998889,20.063772,1.9518468,20.158488355991732,-5.556372252430083
6.0,4.9988737,20.400206,1.9067547,20.489121951133193,-5.339775257546428
6.0,2.9988587,20.856092,1.947243,20.94679757895018,-5.333995621905018
6.0,2.000015,21.255548,2.1127694,21.360292959551852,-5.676468418319421
6.0,0.99884343,21.967962,2.6421185,22.126277242263015,-6.858104707858916
6.0,0.99884343,21.996281,2.6400075,22.154142218353147,-6.843938633954484
6.0,0.0,0.0,0.0,0.0,
7.0,9997.999,8.517292,1.8355074,8.712826776007816,-12.16145862003076
7.0,6812.999,9.0544271,2.1208813,9.299504696375184,-13.18311213989902
7.0,4642.0,9.6178999,2.1884222,9.863731049246672,-12.818629897460848
7.0,3162.0007,10.17962,2.2374368,10.422609403522433,-12.396253431048681
7.0,2154.0,10.730211,2.2879853,10.97143130304962,-12.03682233396394
7.0,1467.9995,11.290964,2.348382,11.53259580784916,-11.749309841831717
7.0,998.00061,11.869864,2.4242136,12.114886832196202,-11.542926263135827
7.0,680.99933,12.465806,2.484163,12.710915979590338,-11.27015979992862
7.0,463.99887,13.093644,2.5525692,13.340132035310768,-11.03129442707738
7.0,316.00006,13.741442,2.6069865,13.986550927607071,-10.74232195257302
7.0,215.00046,14.402942,2.6426504,14.643371858693753,-10.396982341771876
7.0,146.99995,15.056684,2.6731119,15.292130665992154,-10.067200157341373
