cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm
2.0,10001.0,8.9256229,2.7100418
2.0,6746.0,9.5434647,2.7002246
2.0,4551.0005,10.324868,2.6809299
2.0,3070.0,11.051319,2.5952849
2.0,2071.0005,11.710495,2.479845
2.0,1397.0001,12.323121,2.3588367
2.0,942.05835,12.889009,2.2490168
2.0,635.3645,13.415019,2.1461208
2.0,428.71338,13.912816,2.0800617
2.0,289.13373,14.397985,2.0265782
2.0,195.02592,14.877673,2.0113621
2.0,133.4655,15.354821,2.0249839
2.0,88.668892,15.891578,2.0316243
2.0,59.863087,16.427683,2.0183923
2.0,40.354206,16.974264,1.9661204
2.0,27.236528,17.491829,1.872106
2.0,18.356367,17.955429,1.7386037
2.0,12.393575,18.344479,1.6311632
2.0,8.3562918,18.678774,1.5562259
2.0,5.6368299,18.99173,1.5365267
2.0,3.8021243,19.277843,1.5868874
2.0,2.5634654,19.58672,1.7052275
2.0,1.7299316,19.915337,1.9270841
2.0,1.1664815,20.274502,2.2501221
2.0,0.78696758,20.729889,2.7207704
2.0,0.53085387,21.233805,3.2913213
2.0,0.35855919,21.863527,4.0836663
2.0,0.24214387,22.768997,5.0857916
2.0,0.16298145,23.725851,6.3814144
2.0,0.1094304,25.107838,7.8094535
2.0,0.074505806,26.933773,9.789897
2.0,0.048894435,29.434452,12.368629
3.0,10001.0,8.7519569,2.4900892
3.0,6746.0,9.7176819,2.5148306
3.0,4551.0005,10.4045,2.3966515
3.0,3070.0,11.005122,2.2450645
3.0,2071.0005,11.524584,2.1035297
3.0,1397.0001,11.999998,2.0042961
3.0,942.05835,12.456177,1.9407897
3.0,635.3645,12.894902,1.9167025
3.0,428.71338,13.348127,1.9082022
3.0,289.13373,13.815236,1.9211054
3.0,195.02592,14.286792,1.9517682
3.0,133.4655,14.760259,1.9753652
3.0,88.668892,15.301507,2.0148115
3.0,59.863087,15.837874,2.0218048
3.0,40.354206,16.388742,1.9900873
3.0,27.236528,16.917679,1.9065591
3.0,18.356367,17.388727,1.7923527
3.0,12.393575,17.798378,1.6753745
3.0,8.3562918,18.155762,1.605351
3.0,5.6368299,18.47916,1.5777673
3.0,3.8021243,18.780994,1.61379
3.0,2.5634654,19.081715,1.7373017
3.0,1.7299316,19.411381,1.9492654
3.0,1.1664815,19.782063,2.2663097
3.0,0.78696758,20.213654,2.7328768
3.0,0.53085387,20.738108,3.3103063
3.0,0.35855919,21.422792,4.0320616
3.0,0.24214387,22.207008,5.0775156
3.0,0.16298145,23.302002,6.2058125
3.0,0.1094304,24.790951,7.8141689
3.0,0.074505806,26.273359,9.6318703
3.0,0.048894435,28.289652,11.977906
4.0,10001.0,8.6608534,2.5135102
4.0,6746.0,9.6256161,2.4820557
4.0,4551.0005,10.305467,2.3670514
4.0,3070.0,10.897714,2.2172301
4.0,2071.0005,11.412117,2.0927687
4.0,1397.0001,11.8814,2.0020196
4.0,942.05835,12.33315,1.9464598
4.0,635.3645,12.782838,1.9309361
4.0,428.71338,13.245651,1.9365885
4.0,289.13373,13.720021,1.957477
4.0,195.02592,14.208491,1.9830656
4.0,133.4655,14.685801,2.0158689
4.0,88.668892,15.231538,2.0472748
4.0,59.863087,15.775586,2.0600665
4.0,40.354206,16.33436,2.0342681
4.0,27.236528,16.878168,1.9519598
4.0,18.356367,17.369806,1.8442705
4.0,12.393575,17.806992,1.7268614
4.0,8.3562918,18.171661,1.6424664
4.0,5.6368299,18.508974,1.6120505
4.0,3.8021243,18.823036,1.6430041
4.0,2.5634654,19.131086,1.7650957
4.0,1.7299316,19.455271,1.96325
4.0,1.1664815,19.840549,2.2635272
4.0,0.78696758,20.271578,2.7213562
4.0,0.53085387,20.801268,3.2657654
4.0,0.35855919,21.415815,4.0043898
4.0,0.24214387,22.311571,5.0310521
