cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
2.000000000000000E+000	9.9979990E+003	9.5873861E+000	2.4841325E+000
2.000000000000000E+000	6.8129990E+003	1.0309840E+001	2.4469481E+000
2.000000000000000E+000	4.6420000E+003	1.0991037E+001	2.4759643E+000
2.000000000000000E+000	3.1620007E+003	1.1643446E+001	2.4641407E+000
2.000000000000000E+000	2.1540000E+003	1.2242842E+001	2.4250112E+000
2.000000000000000E+000	1.4679995E+003	1.2817909E+001	2.4001567E+000
2.000000000000000E+000	9.9800061E+002	1.3383857E+001	2.4033151E+000
2.000000000000000E+000	6.8099933E+002	1.3942059E+001	2.4371762E+000
2.000000000000000E+000	4.6399887E+002	1.4518310E+001	2.4902732E+000
2.000000000000000E+000	3.1600006E+002	1.5129375E+001	2.5538116E+000
2.000000000000000E+000	2.1500046E+002	1.5768593E+001	2.6291382E+000
2.000000000000000E+000	1.4699995E+002	1.6423100E+001	2.6835983E+000
2.000000000000000E+000	1.0200077E+002	1.7088409E+001	2.7152920E+000
2.000000000000000E+000	6.8000511E+001	1.7842852E+001	2.7185824E+000
2.000000000000000E+000	4.6000347E+001	1.8586918E+001	2.6780691E+000
2.000000000000000E+000	3.2000240E+001	1.9243773E+001	2.5740509E+000
2.000000000000000E+000	2.2000166E+001	1.9875750E+001	2.4287579E+000
2.000000000000000E+000	1.4998950E+001	2.0443142E+001	2.2737410E+000
2.000000000000000E+000	1.0000075E+001	2.0965656E+001	2.1244974E+000
2.000000000000000E+000	6.9988890E+000	2.1353428E+001	2.0310869E+000
2.000000000000000E+000	4.9988737E+000	2.1695496E+001	2.0192358E+000
2.000000000000000E+000	2.9988587E+000	2.2200661E+001	2.1125026E+000
2.000000000000000E+000	2.0000150E+000	2.2613916E+001	2.3221326E+000
2.000000000000000E+000	9.9884343E-001	2.3544201E+001	2.9312820E+000
2.000000000000000E+000	9.9884343E-001	2.3432709E+001	2.9176252E+000
2.000000000000000E+000	0.0000000E+000	0.0000000E+000	0.0000000E+000
3.000000000000000E+000	9.9979990E+003	9.4023914E+000	2.2143757E+000
3.000000000000000E+000	6.8129990E+003	1.0198745E+001	2.3541238E+000
3.000000000000000E+000	4.6420000E+003	1.0850465E+001	2.3703036E+000
3.000000000000000E+000	3.1620007E+003	1.1473084E+001	2.3319907E+000
3.000000000000000E+000	2.1540000E+003	1.2027603E+001	2.2921765E+000
3.000000000000000E+000	1.4679995E+003	1.2565668E+001	2.2691600E+000
3.000000000000000E+000	9.9800061E+002	1.3088068E+001	2.2815068E+000
3.000000000000000E+000	6.8099933E+002	1.3613775E+001	2.3069363E+000
3.000000000000000E+000	4.6399887E+002	1.4165160E+001	2.3752770E+000
3.000000000000000E+000	3.1600006E+002	1.4742784E+001	2.4567251E+000
3.000000000000000E+000	2.1500046E+002	1.5365367E+001	2.5281715E+000
3.000000000000000E+000	1.4699995E+002	1.5992170E+001	2.5922692E+000
3.000000000000000E+000	1.0200077E+002	1.6640623E+001	2.6452396E+000
3.000000000000000E+000	6.8000511E+001	1.7375345E+001	2.6655965E+000
3.000000000000000E+000	4.6000347E+001	1.8093941E+001	2.6420975E+000
3.000000000000000E+000	3.2000240E+001	1.8753450E+001	2.5495002E+000
3.000000000000000E+000	2.2000166E+001	1.9390583E+001	2.4117937E+000
3.000000000000000E+000	1.4998950E+001	1.9955799E+001	2.2548292E+000
3.000000000000000E+000	1.0000075E+001	2.0484785E+001	2.0938017E+000
3.000000000000000E+000	6.9988890E+000	2.0867840E+001	2.0314519E+000
3.000000000000000E+000	4.9988737E+000	2.1213070E+001	1.9867251E+000
3.000000000000000E+000	2.9988587E+000	2.1693537E+001	2.0587523E+000
3.000000000000000E+000	2.0000150E+000	2.2097713E+001	2.2337027E+000
3.000000000000000E+000	9.9884343E-001	2.2942291E+001	2.9094925E+000
3.000000000000000E+000	9.9884343E-001	2.2894613E+001	2.8139646E+000
3.000000000000000E+000	0.0000000E+000	0.0000000E+000	0.0000000E+000
4.000000000000000E+000	9.9979990E+003	9.2876682E+000	2.2518215E+000
4.000000000000000E+000	6.8129990E+003	1.0084039E+001	2.2954435E+000
4.000000000000000E+000	4.6420000E+003	1.0722926E+001	2.3078632E+000
4.000000000000000E+000	3.1620007E+003	1.1307789E+001	2.2713163E+000
4.000000000000000E+000	2.1540000E+003	1.1867493E+001	2.2381346E+000
4.000000000000000E+000	1.4679995E+003	1.2377922E+001	2.2165265E+000
4.000000000000000E+000	9.9800061E+002	1.2904685E+001	2.2162662E+000
4.000000000000000E+000	6.8099933E+002	1.3402993E+001	2.2565732E+000
4.000000000000000E+000	4.6399887E+002	1.3947251E+001	2.3222902E+000
4.000000000000000E+000	3.1600006E+002	1.4509973E+001	2.3996811E+000
4.000000000000000E+000	2.1500046E+002	1.5118460E+001	2.4841208E+000
4.000000000000000E+000	1.4699995E+002	1.5737134E+001	2.5473187E+000
4.000000000000000E+000	1.0200077E+002	1.6366283E+001	2.6026106E+000
4.000000000000000E+000	6.8000511E+001	1.7090643E+001	2.6299460E+000
4.000000000000000E+000	4.6000347E+001	1.7801561E+001	2.6139708E+000
4.000000000000000E+000	3.2000240E+001	1.8446266E+001	2.5339913E+000
4.000000000000000E+000	2.2000166E+001	1.9090187E+001	2.4030418E+000
4.000000000000000E+000	1.4998950E+001	1.9672764E+001	2.2404830E+000
4.000000000000000E+000	1.0000075E+001	2.0183346E+001	2.0890844E+000
4.000000000000000E+000	6.9988890E+000	2.0588959E+001	2.0044992E+000
4.000000000000000E+000	4.9988737E+000	2.0921478E+001	1.9619418E+000
4.000000000000000E+000	2.9988587E+000	2.1410540E+001	2.0227525E+000
4.000000000000000E+000	2.0000150E+000	2.1805807E+001	2.2157755E+000
4.000000000000000E+000	9.9884343E-001	2.2666077E+001	2.7522900E+000
4.000000000000000E+000	9.9884343E-001	2.2569014E+001	2.7481196E+000
4.000000000000000E+000	0.0000000E+000	0.0000000E+000	0.0000000E+000
5.000000000000000E+000	9.9979990E+003	9.4501143E+000	2.3628032E+000
5.000000000000000E+000	6.8129990E+003	1.0107014E+001	2.2912717E+000
5.000000000000000E+000	4.6420000E+003	1.0739519E+001	2.2997921E+000
5.000000000000000E+000	3.1620007E+003	1.1330729E+001	2.2576554E+000
5.000000000000000E+000	2.1540000E+003	1.1869362E+001	2.2102668E+000
