cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm
5.0,9997.999,8.4102945,1.9710244
5.0,6812.999,9.135685,2.1715631
5.0,4642.0,9.7284746,2.2738626
5.0,3162.0007,10.318233,2.3523283
5.0,2154.0,10.906281,2.4053872
5.0,1467.9995,11.507158,2.4831178
5.0,998.00061,12.129554,2.5508232
5.0,680.99933,12.763373,2.6179132
5.0,463.99887,13.430153,2.670253
5.0,316.00006,14.107386,2.7055943
5.0,215.00046,14.790056,2.7339752
5.0,146.99995,15.472753,2.7483053
5.0,102.00077,16.140108,2.7429314
5.0,68.000511,16.888983,2.7203743
5.0,46.000347,17.59902,2.6449792
5.0,32.00024,18.257513,2.5421219
5.0,22.000166,18.875717,2.3790407
5.0,14.99895,19.431141,2.2130103
5.0,10.000075,19.934311,2.0374897
5.0,6.998889,20.313911,1.9287794
5.0,4.9988737,20.643639,1.8829201
5.0,2.9988587,21.090546,1.9527291
5.0,2.000015,21.467453,2.1159029
5.0,0.99884343,22.261757,2.7458203
5.0,0.99884343,22.205168,2.6429412
5.0,0.0,0.0,0.0
6.0,9997.999,8.3758812,1.9043497
6.0,6812.999,9.070365,2.1290975
6.0,4642.0,9.6416254,2.2118394
6.0,3162.0007,10.208619,2.2769825
6.0,2154.0,10.777034,2.3315635
6.0,1467.9995,11.350439,2.3931994
6.0,998.00061,11.944634,2.4661088
6.0,680.99933,12.559048,2.539789
6.0,463.99887,13.198596,2.5983922
6.0,316.00006,13.858802,2.6421149
6.0,215.00046,14.534901,2.6776795
6.0,146.99995,15.203467,2.698257
6.0,102.00077,15.852678,2.7117598
6.0,68.000511,16.587099,2.6918881
6.0,46.000347,17.307142,2.6486654
6.0,32.00024,17.957605,2.5565367
6.0,22.000166,18.585615,2.4111784
6.0,14.99895,19.158821,2.2381167
6.0,10.000075,19.670822,2.0687897
6.0,6.998889,20.063772,1.9518468
6.0,4.9988737,20.400206,1.9067547
6.0,2.9988587,20.856092,1.947243
6.0,2.000015,21.255548,2.1127694
6.0,0.99884343,21.967962,2.6421185
6.0,0.99884343,21.996281,2.6400075
6.0,0.0,0.0,0.0
7.0,9997.999,8.517292,1.8355074
7.0,6812.999,9.0544271,2.1208813
7.0,4642.0,9.6178999,2.1884222
7.0,3162.0007,10.17962,2.2374368
7.0,2154.0,10.730211,2.2879853
7.0,1467.9995,11.290964,2.348382
7.0,998.00061,11.869864,2.4242136
7.0,680.99933,12.465806,2.484163
7.0,463.99887,13.093644,2.5525692
7.0,316.00006,13.741442,2.6069865
7.0,215.00046,14.402942,2.6426504
7.0,146.99995,15.056684,2.6731119
7.0,102.00077,15.710258,2.6861963
7.0,68.000511,16.432791,2.684397
7.0,46.000347,17.144474,2.6489773
7.0,32.00024,17.802374,2.5619497
7.0,22.000166,18.446222,2.4255288
7.0,14.99895,19.027069,2.2650392
7.0,10.000075,19.566229,2.0994601
7.0,6.998889,19.959261,1.9838661
7.0,4.9988737,20.299223,1.9347278
7.0,2.9988587,20.774351,1.9872835
7.0,2.000015,21.143047,2.1526763
7.0,0.99884343,21.979851,2.6846302
7.0,0.99884343,21.887375,2.6566975
7.0,0.0,0.0,0.0
8.0,9997.999,8.7282114,1.9291046
8.0,6812.999,9.1400871,2.1233811
8.0,4642.0,9.710537,2.1950538
8.0,3162.0007,10.267174,2.236418
8.0,2154.0,10.821825,2.2793593
8.0,1467.9995,11.36776,2.3298318
8.0,998.00061,11.938559,2.3902011
8.0,680.99933,12.54049,2.4758594
8.0,463.99887,13.161627,2.5409443
8.0,316.00006,13.794257,2.591357
8.0,215.00046,14.456658,2.6330631
8.0,146.99995,15.113874,2.6641901
8.0,102.00077,15.752234,2.6930606
8.0,68.000511,16.489748,2.6948943
8.0,46.000347,17.201084,2.6576614
8.0,32.00024,17.87945,2.5915418
8.0,22.000166,18.511034,2.4573526
8.0,14.99895,19.119303,2.2948308
8.0,10.000075,19.647293,2.1341605
8.0,6.998889,20.06279,2.0041606
8.0,4.9988737,20.408184,1.9617648
8.0,2.9988587,20.874428,1.9937768
8.0,2.000015,21.292299,2.1449685
8.0,0.99884343,22.031265,2.622669
8.0,0.99884343,22.021347,2.6592088
8.0,0.0,0.0,0.0
9.0,9997.999,8.4782114,1.8682415
9.0,6812.999,9.1244736,2.1225486
9.0,4642.0,9.6815281,2.1863873
9.0,3162.0007,10.238842,2.225709
9.0,2154.0,10.787108,2.25811
9.0,1467.9995,11.330905,2.3119016
9.0,998.00061,11.901366,2.3777149
9.0,680.99933,12.487976,2.4471807
9.0,463.99887,13.102066,2.5155165
9.0,316.00006,13.730694,2.5769308
9.0,215.00046,14.37693,2.6182747
9.0,146.99995,15.036892,2.6564817
9.0,102.00077,15.683891,2.6792119
9.0,68.000511,16.403595,2.6876686
9.0,46.000347,17.125027,2.6635425
9.0,32.00024,17.780394,2.6003034
9.0,22.000166,18.441042,2.4719298
9.0,14.99895,19.043228,2.3152046
9.0,10.000075,19.585411,2.1437979
9.0,6.998889,20.000479,2.0249188
9.0,4.9988737,20.344084,1.9610994
9.0,2.9988587,20.818296,2.014631
9.0,2.000015,21.203787,2.1575603
9.0,0.99884343,22.008289,2.7387483
9.0,0.99884343,21.957981,2.6630273
9.0,0.0,0.0,0.0
10.0,9997.999,8.4588995,2.1329062
10.0,6812.999,9.1166286,2.1271553
10.0,4642.0,9.678093,2.1888416
10.0,3162.0007,10.230895,2.2258043
10.0,2154.0,10.783919,2.264097
10.0,1467.9995,11.335002,2.3127437
10.0,998.00061,11.908165,2.3867857
10.0,680.99933,12.48506,2.456378
10.0,463.99887,13.097519,2.5234737
10.0,316.00006,13.743334,2.5814164
10.0,215.00046,14.396545,2.6276336
10.0,146.99995,15.045159,2.6577327
10.0,102.00077,15.683381,2.6742029
10.0,68.000511,16.403297,2.6900799
10.0,46.000347,17.120682,2.6803908
10.0,32.00024,17.795494,2.6097145
10.0,22.000166,18.455025,2.4993193
10.0,14.99895,19.060642,2.3291087
10.0,10.000075,19.609264,2.1747699
10.0,6.998889,20.027273,2.0381405
10.0,4.9988737,20.368231,1.984229
10.0,2.9988587,20.841419,2.0195367
10.0,2.000015,21.237785,2.1562638
10.0,0.99884343,22.011574,2.7356145
10.0,0.99884343,21.98443,2.6677959
10.0,0.0,0.0,0.0
11.0,9997.999,8.7561235,2.0189724
11.0,6812.999,9.1636238,2.137424
11.0,4642.0,9.7258997,2.1921573
11.0,3162.0007,10.283384,2.2280784
