cycle number	Ecell/V	Q charge/mA.h	Energy charge/W.h	
2.000000000000000E+000	3.0296004E+000	4.888238509496054E-007	1.480940925494897E-009
2.000000000000000E+000	3.0348778E+000	5.376438730292850E-006	1.631425470583510E-008
2.000000000000000E+000	3.0399580E+000	1.564103941122691E-005	4.751820966452554E-008
2.000000000000000E+000	3.0449989E+000	3.177140596840117E-005	9.663515783287509E-008
2.000000000000000E+000	3.0500791E+000	5.376694755421745E-005	1.637232996771817E-007
2.000000000000000E+000	3.0551989E+000	8.016184906164806E-005	2.443649739355494E-007
2.000000000000000E+000	3.0602005E+000	1.114451313681073E-004	3.400980886149889E-007
2.000000000000000E+000	3.0652807E+000	1.461501150992182E-004	4.464786046029727E-007
2.000000000000000E+000	3.0703609E+000	1.847644750277202E-004	5.650386254662593E-007
2.000000000000000E+000	3.0753624E+000	2.253346229261823E-004	6.898065346576297E-007
2.000000000000000E+000	3.0804036E+000	2.683490541577339E-004	8.223083420282689E-007
2.000000000000000E+000	3.0854445E+000	3.128297490543789E-004	9.595510552460979E-007
2.000000000000000E+000	3.0904460E+000	3.607321452763346E-004	1.107590823816990E-006
2.000000000000000E+000	3.0954475E+000	4.096121127737893E-004	1.258896198976110E-006
2.000000000000000E+000	3.1004488E+000	4.609357616305352E-004	1.418022546888449E-006
2.000000000000000E+000	3.1054900E+000	5.132374193602138E-004	1.580444820343298E-006
2.000000000000000E+000	3.1104915E+000	5.670054829120636E-004	1.747689925756612E-006
2.000000000000000E+000	3.1155717E+000	6.217518837915527E-004	1.918256265055065E-006
2.000000000000000E+000	3.1205733E+000	6.808970753682985E-004	2.102823169662531E-006
2.000000000000000E+000	3.1256142E+000	7.405309158232477E-004	2.289215546176995E-006
2.000000000000000E+000	3.1306157E+000	8.016316002607346E-004	2.480498308842808E-006
2.000000000000000E+000	3.1356173E+000	8.637094176808994E-004	2.675150584370509E-006
2.000000000000000E+000	3.1406581E+000	9.272536192668809E-004	2.874721198342919E-006
2.000000000000000E+000	3.1457384E+000	9.951965241299736E-004	3.088451800682481E-006
