cycle number	time/s	Ecell/V	I/mA	Capacity/mA.h	
2.000000000000000E+000	3.800716123813707E+005	3.4466126E+000	-8.8018376E-001	1.166762204633819E-007
2.000000000000000E+000	3.800724823814621E+005	3.4416108E+000	-8.7998688E-001	2.125648756863343E-004
2.000000000000000E+000	3.800742703816481E+005	3.4366093E+000	-8.8006562E-001	6.496611485920019E-004
2.000000000000000E+000	3.800765163818821E+005	3.4315684E+000	-8.8002622E-001	1.198719520804783E-003
2.000000000000000E+000	3.800791003821520E+005	3.4265666E+000	-8.8018376E-001	1.830406605241199E-003
2.000000000000000E+000	3.800819543824494E+005	3.4215257E+000	-8.8002622E-001	2.528099409511520E-003
2.000000000000000E+000	3.800850803827755E+005	3.4164453E+000	-8.8010502E-001	3.292284759353432E-003
2.000000000000000E+000	3.800884983831323E+005	3.4114437E+000	-8.8008529E-001	4.127853581313458E-003
2.000000000000000E+000	3.800922823835269E+005	3.4064419E+000	-8.8014442E-001	5.052895610402856E-003
2.000000000000000E+000	3.800964723839639E+005	3.4014010E+000	-8.8008529E-001	6.077188795941572E-003
2.000000000000000E+000	3.801012483844622E+005	3.3963993E+000	-8.8004595E-001	7.244730335445040E-003
2.000000000000000E+000	3.801066203850228E+005	3.3913977E+000	-8.8010502E-001	8.557978126543265E-003
2.000000000000000E+000	3.801130923856976E+005	3.3863962E+000	-8.8004595E-001	1.014013095356110E-002
2.000000000000000E+000	3.801222123866491E+005	3.3813550E+000	-8.8008529E-001	1.236961253729546E-002
2.000000000000000E+000	3.801409963886084E+005	3.3763535E+000	-8.8004595E-001	1.696156663471212E-002
2.000000000000000E+000	3.801709963917376E+005	3.3739116E+000	-8.8004595E-001	2.429540530102535E-002
2.000000000000000E+000	3.802009963948668E+005	3.3730452E+000	-8.8010502E-001	3.162925729301655E-002
2.000000000000000E+000	3.802309963979961E+005	3.3725333E+000	-8.8010502E-001	3.896309417794562E-002
2.000000000000000E+000	3.802609964011253E+005	3.3721395E+000	-8.8002622E-001	4.629690653450373E-002
2.000000000000000E+000	3.802909964042546E+005	3.3717062E+000	-8.8010502E-001	5.363073316938761E-002
2.000000000000000E+000	3.803209964073838E+005	3.3712337E+000	-8.8004595E-001	6.096456868526422E-002
2.000000000000000E+000	3.803509964105131E+005	3.3707612E+000	-8.8004595E-001	6.829840175205221E-002
2.000000000000000E+000	3.803809964136423E+005	3.3703673E+000	-8.7994748E-001	7.563224725521688E-002
2.000000000000000E+000	3.804109964167716E+005	3.3698552E+000	-8.8022316E-001	8.296609924796969E-002
2.000000000000000E+000	3.804409964199008E+005	3.3693826E+000	-8.8010502E-001	9.029994630645133E-002
2.000000000000000E+000	3.804709964230300E+005	3.3688314E+000	-8.8004595E-001	9.763380156967789E-002
2.000000000000000E+000	3.805009964261593E+005	3.3683982E+000	-8.8004595E-001	1.049676512078154E-001
2.000000000000000E+000	3.805309964292885E+005	3.3678074E+000	-8.7998688E-001	1.123015000487740E-001
2.000000000000000E+000	3.805609964324178E+005	3.3672166E+000	-8.7996715E-001	1.196353299528402E-001
2.000000000000000E+000	3.805909964355470E+005	3.3667047E+000	-8.8010502E-001	1.269691655463684E-001
2.000000000000000E+000	3.806209964386763E+005	3.3662319E+000	-8.8002622E-001	1.343030266393597E-001
2.000000000000000E+000	3.806509964418055E+005	3.3656807E+000	-8.8010502E-001	1.416369092957551E-001
2.000000000000000E+000	3.806809964449347E+005	3.3651292E+000	-8.8008529E-001	1.489707719656535E-001
2.000000000000000E+000	3.807109964480640E+005	3.3645384E+000	-8.8004595E-001	1.563046217376366E-001
2.000000000000000E+000	3.807409964511932E+005	3.3639085E+000	-8.8012469E-001	1.636384795364448E-001
2.000000000000000E+000	3.807709964543225E+005	3.3633571E+000	-8.8008529E-001	1.709723384717148E-001
2.000000000000000E+000	3.808009964574517E+005	3.3627269E+000	-8.8016409E-001	1.783061971913485E-001
2.000000000000000E+000	3.808309964605810E+005	3.3621755E+000	-8.7996715E-001	1.856400589847606E-001
2.000000000000000E+000	3.808609964637102E+005	3.3616636E+000	-8.8004595E-001	1.929739303176643E-001
2.000000000000000E+000	3.808909964668395E+005	3.3611517E+000	-8.8004595E-001	2.003078050423372E-001
2.000000000000000E+000	3.809209964699687E+005	3.3605216E+000	-8.8008529E-001	2.076416516192133E-001
2.000000000000000E+000	3.809509964730979E+005	3.3600094E+000	-8.8012469E-001	2.149754914562611E-001
