cycle number,Ecell/V,Q charge/mA.h,Energy charge/W.h
2.0,3.0062702,4.887383845117357e-07,1.469279626395132e-09
2.0,3.0114288,5.376986198955111e-06,1.6189890037697343e-08
2.0,3.0165482,1.417600519127316e-05,4.273255456007947e-08
2.0,3.0215492,2.737489451964696e-05,8.261364837915468e-08
2.0,3.0266292,4.546254575252533e-05,1.373582619321664e-07
2.0,3.0316305,6.794989231559965e-05,2.055315879978251e-07
2.0,3.0366709,9.434755080276064e-05,2.856925899672226e-07
2.0,3.0417509,0.0001246565927730666,3.778851458979178e-07
2.0,3.046752,0.0001578984259896808,4.791647669369379e-07
2.0,3.0519106,0.0001940735534826914,5.895680233931363e-07
2.0,3.0569906,0.0002336706372764375,7.106159372675373e-07
2.0,3.0619919,0.000273756240606308,8.333577311730998e-07
2.0,3.066993,0.000316775313185321,9.65296925558685e-07
2.0,3.0720336,0.0003612618041038514,1.101960922351567e-06
2.0,3.0771134,0.0004086804626716508,1.247873511564905e-06
2.0,3.0821147,0.0004565875755416023,1.395528728208396e-06
2.0,3.0871158,0.0005084063123663267,1.555499167562589e-06
2.0,3.0921957,0.000562668850686815,1.723289557902501e-06
2.0,3.0971968,0.0006183984681963921,1.895895151887975e-06
2.0,3.1023951,0.0006746166161696116,2.070306056311914e-06
2.0,3.1073961,0.0007337683756483926,2.254114004550144e-06
2.0,3.1123972,0.000793408906393581,2.439739025084694e-06
2.0,3.1173985,0.0008530490651726723,2.625661166628786e-06
2.0,3.1225178,0.0009165997873412238,2.824099429339153e-06
2.0,3.1275582,0.000983084361553192,3.032033806673844e-06
2.0,3.1325595,0.00104956853111585,3.240299426155882e-06
2.0,3.1375999,0.001117519692182541,3.453502985386063e-06
2.0,3.1426013,0.00118840426782767,3.676264941527734e-06
2.0,3.1476023,0.001257821687923537,3.894763374050284e-06
2.0,3.152643,0.001332127126422193,4.12902189201785e-06
2.0,3.157644,0.001407899446984132,4.368283907939553e-06
2.0,3.1626453,0.001483671909769376,4.607925334265038e-06
2.0,3.1676857,0.001562377043399546,4.857238464292596e-06
2.0,3.1727264,0.001643527115881443,5.11470544102916e-06
2.0,3.1777275,0.001725654490159617,5.375683853561341e-06
2.0,3.1828074,0.001809737649295065,5.643304358501002e-06
2.0,3.1878085,0.001894798285100195,5.914461377496343e-06
2.0,3.1928098,0.001980348403023348,6.187606634118532e-06
2.0,3.1978109,0.002071276042924986,6.478376031042539e-06
2.0,3.2028122,0.002162692388395468,6.771165417121661e-06
2.0,3.2078133,0.002255086801350116,7.067549440419087e-06
2.0,3.2128143,0.002347969613803757,7.365964671378809e-06
2.0,3.2179337,0.002445741603540049,7.680588447646533e-06
2.0,3.2229743,0.002544978911711109,8.000427741521198e-06
2.0,3.2280149,0.002644705209268463,8.322345720543974e-06
2.0,3.2330554,0.002745897832082377,8.64950707143327e-06
2.0,3.2381353,0.002848068948354985,8.980350973541099e-06
2.0,3.2431757,0.002953173129492335,9.321222304504928e-06
2.0,3.2482164,0.003059254776636759,9.665798449502326e-06
2.0,3.253257,0.003166803119944201,1.001568085409989e-05
2.0,3.2582974,0.003276306974722279,1.037247698416464e-05
2.0,3.2632987,0.003384832882516913,1.072662944340521e-05
2.0,3.2682998,0.003494336747891372,1.108452090668311e-05
2.0,3.2733009,0.003607750793827904,1.145575920374949e-05
2.0,3.2783809,0.003720187866389751,1.182437075160715e-05
2.0,3.2834609,0.003835558102130889,1.220318440455114e-05
2.0,3.2884619,0.003951905693974759,1.258578903023217e-05
2.0,3.2935026,0.004070208633575174,1.297542006574988e-05
2.0,3.2985036,0.004189490252600775,1.336887091997051e-05
2.0,3.3035443,0.004310237857302029,1.376776597915681e-05
2.0,3.3086243,0.004434895576934019,1.418021153547216e-05
2.0,3.3136647,0.004560042844116687,1.459490761387798e-05
2.0,3.3187053,0.004690079092019133,1.502645960163126e-05
2.0,3.3237853,0.004820114662018087,1.545866991832409e-05
2.0,3.3288257,0.004955037943853271,1.5907806008072e-05
