cycle number,Ecell/V,Q charge/mA.h,Energy charge/W.h
5.0,3.4443636,4.887291457917955e-07,1.683360877118945e-09
5.0,3.4494033,9.774758021036783e-06,3.3714619393096254e-08
5.0,3.4544036,4.34980207350519e-05,1.50208380825938e-07
5.0,3.4594829,0.0001500447156031926,5.188048506526819e-07
5.0,3.4644833,0.0003895315241151386,1.348502889998591e-06
5.0,3.4694836,0.0008083904709749751,2.801727142692644e-06
5.0,3.474484,0.001454028623799483,5.04498655305345e-06
5.0,3.4794843,0.002355285299983289,8.18089502584813e-06
5.0,3.4844847,0.003582048581209448,1.245553287612339e-05
5.0,3.489485,0.005323953392869897,1.853388363209498e-05
5.0,3.4944854,0.007972493000924587,2.778916656619882e-05
5.0,3.4994857,0.01283945467574729,4.48210295011725e-05
5.0,3.5027931,0.02017068709946341,7.050081965631424e-05
5.0,3.5044074,0.02750193264699645,9.619249084721784e-05
5.0,3.5051949,0.03483316363890966,0.0001218898843485359
5.0,3.5054309,0.0421644116802348,0.0001475890680380493
5.0,3.5055885,0.04949565202328894,0.0001732893801062871
5.0,3.5057855,0.05682690982861652,0.0001989911971621353
5.0,3.5059035,0.06415816139058934,0.0002246938575438785
5.0,3.5059035,0.07148941064596176,0.0002503965098389033
5.0,3.5059822,0.07882067002796464,0.000276099774446704
5.0,3.5061004,0.08615192749662531,0.0003018038993087233
5.0,3.5061791,0.09348319146050346,0.0003275086237537747
5.0,3.5064154,0.1008144440641337,0.0003532150405434297
5.0,3.506573,0.1081456886611051,0.0003789225846235651
5.0,3.5068879,0.1154769371822476,0.0004046324514477279
5.0,3.5070453,0.1228082000205914,0.0004303435221008283
5.0,3.5073602,0.1301394566366076,0.0004560568799181287
5.0,3.5077541,0.1374707127604551,0.0004817731235526836
5.0,3.5079904,0.1448019605188568,0.0005074910700178348
5.0,3.5084233,0.1521332120495041,0.0005332122039143235
5.0,3.5088172,0.1594644608255558,0.0005589362156870985
5.0,3.5091321,0.1667957033978899,0.0005846625146739237
5.0,3.5094864,0.1741269390592641,0.0006103913867928225
5.0,3.509959,0.181458169276317,0.0006361237041457054
5.0,3.5102739,0.1887894060962399,0.0006618583536543412
5.0,3.5107858,0.1961206412778629,0.000687596750159139
5.0,3.5112977,0.2034518737052878,0.0007133388897401703
5.0,3.5118093,0.2107830838219656,0.0007390847019678431
5.0,3.5123606,0.2181143025336001,0.0007648345855212712
5.0,3.5127544,0.2254455376055506,0.0007905874140732041
5.0,3.5133057,0.2327767737927371,0.0008163442876942265
5.0,3.5138175,0.2401080071920819,0.0008421049042668399
5.0,3.5143294,0.2474392477642166,0.0008678692987931307
5.0,3.5149593,0.2547704987905755,0.0008936383480278576
5.0,3.5154319,0.262101775701013,0.0009194109526068888
5.0,3.5159831,0.2694330210208893,0.000945187487288028
5.0,3.5164948,0.2767642656075955,0.0009709677703953056
5.0,3.5170856,0.2840955211826828,0.0009967524234580447
5.0,3.5175185,0.291426785443657,0.00102254028127364
5.0,3.5182667,0.2987580454284284,0.001048333608984763
5.0,3.518739,0.3060893267351389,0.00107413047432914
5.0,3.5194085,0.3134205903406939,0.00109993218551751
5.0,3.5200384,0.3207518521614208,0.001125738508399989
