cycle number,time/s,Ecell/V,I/mA,Capacity/mA.h
2.0,283392.0902969071,2.9665332,0.87977839,4.887657695346408e-07
2.0,283392.1282969108,2.9718528,0.87999517,9.775764379236432e-06
2.0,283392.2022969192,2.9769361,0.87964046,2.786096298032337e-05
2.0,283392.3102969301,2.9820585,0.87983751,5.425549738936953e-05
2.0,283392.4402969433,2.9871023,0.87964046,8.602640059259202e-05
2.0,283392.5962969596,2.9921067,0.87977839,0.0001241529444853465
2.0,283392.7582969768,2.9971111,0.87973899,0.0001637447570761045
2.0,283392.9322969951,3.0021548,0.87985724,0.0002062700508038203
2.0,283393.1142970137,3.0072775,0.87971932,0.0002507512066430516
2.0,283393.3042970337,3.0122819,0.87971932,0.0002971863967180252
2.0,283393.5042970544,3.017365,0.87981778,0.0003460661491420534
2.0,283393.7022970757,3.0223694,0.87999517,0.0003944568401575089
2.0,283393.9062970965,3.0274131,0.87991631,0.0004443139381541147
2.0,283394.1182971187,3.0324569,0.87979811,0.0004961261210838955
2.0,283394.3342971411,3.0375009,0.88001484,0.0005489152227176561
2.0,283394.5502971634,3.042505,0.87997544,0.0006017084508803157
2.0,283394.7802971876,3.047549,0.87973899,0.0006579203359285992
2.0,283395.0062972112,3.0525532,0.87969959,0.0007131531677643459
2.0,283395.2442972362,3.0575972,0.87946314,0.0007713201595014997
2.0,283395.4882972613,3.0626409,0.87987691,0.0008309531749950516
2.0,283395.7382972874,3.0676453,0.87989664,0.000892053692009714
2.0,283395.9922973141,3.0726495,0.88011336,0.000954130449096362
2.0,283396.2522973409,3.0776935,0.87979811,0.001017674718101819
2.0,283396.520297369,3.0826976,0.87973899,0.001083172244396475
2.0,283396.7922973977,3.0877416,0.87977839,0.001149648528198401
2.0,283397.0702974265,3.0927854,0.87973899,0.00121759155842993
2.0,283397.364297457,3.0979078,0.87969959,0.00128944268948502
2.0,283397.6602974879,3.1029122,0.87983751,0.001361785804563099
2.0,283397.9602975193,3.1079166,0.87971932,0.001435104251040353
2.0,283398.2722975519,3.112921,0.87973899,0.001511356518103017
2.0,283398.5782975834,3.1179254,0.87991631,0.001586143888963594
2.0,283398.9102976182,3.1230085,0.87973899,0.001667283562421799
2.0,283399.2462976535,3.1280522,0.87995571,0.001749401741557651
2.0,283399.586297689,3.1330566,0.87991631,0.001832497703929742
2.0,283399.9282977246,3.138061,0.87995571,0.001916081873741415
2.0,283400.2842977615,3.1430655,0.87971932,0.002003086933228705
2.0,283400.6522978004,3.1481092,0.87987691,0.002093026284211212
2.0,283401.0202978384,3.1531136,0.87975872,0.002182964956329929
2.0,283401.398297878,3.158118,0.87956166,0.002275347260435422
2.0,283401.7822979179,3.1632404,0.87969959,0.00236919611391094
2.0,283402.1782979593,3.1683238,0.87979811,0.002465977682107025
2.0,283402.5922980024,3.1733282,0.87989664,0.002567158777349525
2.0,283402.9982980448,3.1783719,0.87962079,0.002666383594771226
2.0,283403.4182980889,3.1834157,0.87950253,0.002769030767977238
2.0,283403.8382981326,3.1884987,0.87983751,0.002871678696672122
2.0,283404.268298177,3.1935427,0.87987691,0.002976770202683078
2.0,283404.7042982224,3.1985469,0.87932521,0.003083328269124031
2.0,283405.1462982688,3.2036302,0.87964046,0.003191355128089587
2.0,283405.6042983169,3.208674,0.87940407,0.003303288840717739
2.0,283406.0462983632,3.2136784,0.88013303,0.003411310347484218
2.0,283406.4982984099,3.2186828,0.87989664,0.003521779196692838
2.0,283406.9602984581,3.2236872,0.87958139,0.003634693702724245
2.0,283407.4262985066,3.2287309,0.87985724,0.003748582861456606
2.0,283407.8962985557,3.2337353,0.87973899,0.00386345032910506
2.0,283408.3742986056,3.2387395,0.87981778,0.003980271436638302
2.0,283408.8482986549,3.2437439,0.87977839,0.004096116698814763
2.0,283409.3382987063,3.2487876,0.87977839,0.004215872688790163
2.0,283409.8222987568,3.253792,0.87979811,0.004334162688122855
2.0,283410.3262988096,3.2588358,0.87987691,0.004457339863744047
2.0,283410.8242988614,3.2638402,0.87989664,0.004579050161904759
2.0,283411.3242989136,3.2688446,0.87981778,0.00470124843739801
2.0,283411.8262989661,3.273849,0.87989664,0.004823935500416491
2.0,283412.354299021,3.2788534,0.87971932,0.00495297716471884
2.0,283412.8822990758,3.2838972,0.87989664,0.005082020240988997
2.0,283413.4222991318,3.2889016,0.88042861,0.005213995506895913
2.0,283413.9622991886,3.2939453,0.87973899,0.005345971626606253
2.0,283414.5202992465,3.2989497,0.87989664,0.005482345565954844
2.0,283415.0862993058,3.3039541,0.87973899,0.005620675334499942
2.0,283415.6922993688,3.3089585,0.87985724,0.005768781141175164
2.0,283416.2842994304,3.3139627,0.87977839,0.005913463802966807
2.0,283416.9122994961,3.3189671,0.87971932,0.006066942891710335
2.0,283417.5742995655,3.3240504,0.87985724,0.006228735782172945
2.0,283418.2642996376,3.3290548,0.87989664,0.006397371272941431
2.0,283418.9662997106,3.334059,0.87989664,0.006568940420448781
2.0,283419.7162997888,3.339103,0.87983751,0.006752240077753862
2.0,283420.5342998737,3.3441861,0.87958139,0.006952160749004947
2.0,283421.3842999628,3.3491905,0.87962079,0.007159898421830601
2.0,283422.31830006,3.3541949,0.87960106,0.007388171810275979
2.0,283423.3143001639,3.3592386,0.87971932,0.007631594573193127
2.0,283424.4203002797,3.364243,0.87981778,0.00790190065821012
2.0,283425.6103004031,3.3692868,0.87985724,0.008192734742164613
2.0,283426.9183005402,3.3742912,0.87964046,0.008512410670088398
2.0,283428.3403006883,3.3792956,0.87979811,0.008859944901069006
2.0,283429.8983008508,3.3842998,0.87977839,0.00924071855472194
