cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
2.0,9997.999,8.2634459,2.4759202,8.626396639327156,-16.6794363263156
2.0,6812.999,9.1047192,2.45526,9.429963593696883,-15.091894287768094
2.0,4642.0,9.7477922,2.3926387,10.037139668407455,-13.790860224620303
2.0,3162.0007,10.342221,2.3062809,10.596247769967716,-12.571085533899968
2.0,2154.0,10.875602,2.2325697,11.102391018504171,-11.600653236378978
2.0,1467.9995,11.374546,2.1861048,11.582717768412518,-10.879173767523639
2.0,998.00061,11.873951,2.1746461,12.071445564249801,-10.378377243269492
2.0,680.99933,12.365457,2.2029955,12.560163852110737,-10.101671247266868
2.0,463.99887,12.882859,2.2578564,13.079219072135077,-9.940727293270607
2.0,316.00006,13.432317,2.3248963,13.632031499165583,-9.819599667633305
2.0,215.00046,14.014553,2.4004512,14.218644863466785,-9.719462013483728
2.0,146.99995,14.634036,2.4567428,14.838820533810894,-9.529875887357914
2.0,102.00077,15.255761,2.4968708,15.458738870975653,-9.295040696388781
2.0,68.000511,15.960679,2.4876821,16.15338467231253,-8.859022624710876
2.0,46.000347,16.643696,2.4027638,16.816238890400147,-8.214739022140872
2.0,32.00024,17.242905,2.2584088,17.390174902712808,-7.461903356237529
2.0,22.000166,17.793633,2.0838587,17.91524050690514,-6.6796309944486945
2.0,14.99895,18.256384,1.8742639,18.35234104746038,-5.861648120872775
2.0,10.000075,18.659798,1.708407,18.737841814852985,-5.2311592832241
2.0,6.998889,18.966557,1.5948033,19.033488434859752,-4.806410397738762
2.0,4.9988737,19.215767,1.5636779,19.27928395903845,-4.652178132332416
2.0,2.9988587,19.600765,1.6190747,19.667521233480468,-4.722061585790728
2.0,2.000015,19.888006,1.7716929,19.96676434447871,-5.090669846630132
2.0,0.99884343,20.537868,2.2189996,20.657395315243015,-6.166561448178819
2.0,0.99884343,20.493504,2.270349,20.6188794743996,-6.321668313305429
2.0,0.0,0.0,0.0,0.0,
3.0,9997.999,8.239274,2.4857697,8.606084304055713,-16.788439963606393
3.0,6812.999,8.8358669,2.341481,9.140846631897759,-14.842083287687098
3.0,4642.0,9.4538727,2.2596023,9.720160059483105,-13.442272237965827
3.0,3162.0007,10.018753,2.1513631,10.247134958760453,-12.11929126048227
3.0,2154.0,10.51767,2.0388496,10.713463021839399,-10.970715028776223
3.0,1467.9995,10.968482,1.9559234,11.141509490683548,-10.110830359039456
3.0,998.00061,11.387075,1.9083787,11.545881790415086,-9.513879792162726
3.0,680.99933,11.797213,1.91537,11.951689286635132,-9.221950349118147
3.0,463.99887,12.223809,1.9622695,12.380307268364191,-9.119798444830277
3.0,316.00006,12.675379,2.0473487,12.839660022486292,-9.175267112676279
3.0,215.00046,13.178837,2.1472368,13.352616618020726,-9.253925595286562
3.0,146.99995,13.728333,2.2388856,13.909699338547053,-9.26254060979455
3.0,102.00077,14.294147,2.3162022,14.480588078144267,-9.20412287112192
3.0,68.000511,14.951249,2.3654025,15.137205014367986,-8.990120259036187
3.0,46.000347,15.604522,2.3571272,15.781544775004246,-8.58982356425709
3.0,32.00024,16.206533,2.2757034,16.365528950964602,-7.9931483867860935
3.0,22.000166,16.774378,2.1472478,16.91125159180978,-7.294624503883149
3.0,14.99895,17.29377,1.9811288,17.406876576085942,-6.535165304950425
3.0,10.000075,17.750839,1.8281946,17.844735377679047,-5.880274637095194
3.0,6.998889,18.07996,1.7290398,18.162448409605574,-5.462751000753608
3.0,4.9988737,18.365112,1.6816733,18.441945772083727,-5.23192168274303
3.0,2.9988587,18.77401,1.7244785,18.85304425224378,-5.248151891007224
3.0,2.000015,19.102478,1.870893,19.19387679334045,-5.593697782620795
3.0,0.99884343,19.838751,2.4084716,19.984413343603748,-6.921970092606725
3.0,0.99884343,19.736753,2.3547075,19.876721721490323,-6.803555496887384
3.0,0.0,0.0,0.0,0.0,
4.0,9997.999,8.1971941,2.27665,8.507474733172872,-15.521850460777463
4.0,6812.999,8.6990232,2.28529,8.994195629306615,-14.719372582979425
4.0,4642.0,9.3039122,2.2081983,9.56237010146709,-13.351585639567503
4.0,3162.0007,9.8453503,2.103318,10.067515539537752,-12.0591426387175
4.0,2154.0,10.33479,2.0072289,10.527908253831585,-10.991181087747432
4.0,1467.9995,10.782977,1.9375217,10.95566443993699,-10.18640080750114
4.0,998.00061,11.212744,1.905391,11.373484201088822,-9.644193964908146
4.0,680.99933,11.60849,1.9174745,11.765787204358672,-9.379348421805535
4.0,463.99887,12.034514,1.9644408,12.193791652841236,-9.270849723110194
4.0,316.00006,12.502433,2.0530627,12.669881505745044,-9.325485852996186
4.0,215.00046,13.010406,2.1600301,13.188494770736423,-9.426450672179582
4.0,146.99995,13.56062,2.251776,13.746305319560452,-9.428085420303036
4.0,102.00077,14.127076,2.3292689,14.317813028472024,-9.36267830965353
4.0,68.000511,14.787813,2.3724494,14.976913215964409,-9.114450733568686
4.0,46.000347,15.439634,2.3602269,15.618993855989558,-8.691409330921797
4.0,32.00024,16.039354,2.296129,16.202872742879794,-8.146879774864976
4.0,22.000166,16.626827,2.1710846,16.767974965042324,-7.43943152540271
4.0,14.99895,17.140882,2.0090694,17.258221101606633,-6.685091679912521
4.0,10.000075,17.610458,1.8482945,17.70718564675071,-5.991506960137457
4.0,6.998889,17.952148,1.7500488,18.037247257169966,-5.567834048997332
4.0,4.9988737,18.246674,1.6958041,18.325306644306195,-5.30968627753537
4.0,2.9988587,18.675314,1.7308682,18.755352775257712,-5.295168644084502
4.0,2.000015,18.996788,1.857501,19.087384951374165,-5.584613664806501
4.0,0.99884343,19.684557,2.2990253,19.818357692207726,-6.66158573459505
4.0,0.99884343,19.617748,2.3401666,19.756832142508564,-6.802568006610055
4.0,0.0,0.0,0.0,0.0,
5.0,9997.999,7.9777694,2.4066749,8.332879974766609,-16.78712686785166
5.0,6812.999,8.662612,2.2513003,8.950374277276012,-14.568151907658649
5.0,4642.0,9.2532778,2.1619203,9.502475963006953,-13.150593492225127
5.0,3162.0007,9.7796087,2.0576763,9.993736942740558,-11.881989264665034
5.0,2154.0,10.252081,1.9616245,10.43806186557453,-10.83200334201964
5.0,1467.9995,10.682188,1.8937429,10.848751201804031,-10.052972807359074
5.0,998.00061,11.08897,1.8657109,11.244826936119507,-9.550524234810066
5.0,680.99933,11.494225,1.8849574,11.647758271463216,-9.313135333860039
5.0,463.99887,11.911658,1.9473025,12.069779755052295,-9.284511131017677
5.0,316.00006,12.372471,2.0406773,12.539633267706689,-9.365866814739848
5.0,215.00046,12.884532,2.1418204,13.061338349682247,-9.438084170848319
5.0,146.99995,13.430323,2.2414165,13.616075932911114,-9.474896053627484
5.0,102.00077,14.000293,2.312566,14.190002311141637,-9.379415157981919
5.0,68.000511,14.664348,2.3460717,14.85083010092853,-9.089423639701069
5.0,46.000347,15.306282,2.3376474,15.483761301126117,-8.68338305785325
5.0,32.00024,15.905516,2.270858,16.06680538509196,-8.125306249906071
5.0,22.000166,16.478971,2.1372387,16.616987527214995,-7.389721732064266
5.0,14.99895,16.983688,1.9685242,17.09739002325588,-6.61146635128544
5.0,10.000075,17.443815,1.8018904,17.536632822974802,-5.897554372421768
5.0,6.998889,17.769089,1.7095585,17.85113761514496,-5.495494704251929
5.0,4.9988737,18.055122,1.6460792,18.13000295553083,-5.209235273967028
5.0,2.9988587,18.456219,1.6772418,18.532273466351295,-5.192592940652043
5.0,2.000015,18.791218,1.7973274,18.876976974778422,-5.463560454080728
5.0,0.99884343,19.377056,2.2306185,19.50502391999759,-6.566783076585481
5.0,0.99884343,19.383961,2.2557061,19.514767589164318,-6.637639107929678
5.0,0.0,0.0,0.0,0.0,
6.0,9997.999,7.9177132,2.3622155,8.262580976056723,-16.612245274245016
6.0,6812.999,8.6078854,2.1870575,8.881380048609529,-14.255834443104414
6.0,4642.0,9.1795235,2.1049924,9.417783427702615,-12.91542373193923
6.0,3162.0007,9.6824169,1.9999099,9.886801132495972,-11.670364947570343
6.0,2154.0,10.138728,1.9068395,10.316484010395415,-10.651468489219845
6.0,1467.9995,10.554583,1.8480608,10.715155203000357,-9.931558853186502
6.0,998.00061,10.959514,1.8234054,11.11016446183157,-9.446144534158357
6.0,680.99933,11.34346,1.8514864,11.493567186082178,-9.270107051480506
6.0,463.99887,11.768437,1.9269023,11.92514410381335,-9.298799623953455
6.0,316.00006,12.223274,2.0246773,12.389824270271605,-9.405143618323441
6.0,215.00046,12.736909,2.1328239,12.914247506637475,-9.506109983406954
