battery,Cell code,Separator,electrolyte,temperature,Formation protocol,Cycle life,Var of avg. disch. Voltage (50 cycles),Var of avg. disch. Voltage (10 cycles),Corrected cycle life,Average discharge voltage (1st cycle),Average discharge voltage (10th cycle),Average charge voltage (1st cycle),Average charge voltage (10th cycle),Var of avg. chg. Voltage (10 cycles),Average charge voltage (first 5% of capacity) - 1st cycle,Average charge voltage (first 10% of capacity) - 1st cycle,Average charge voltage (first 15% of capacity) - 1st cycle,Average charge voltage (between 5% &15% SoC) - 1st cycle,Average charge voltage (between 10% &15% SoC) - 1st cycle,Average charge voltage (between 5% &10% SoC) - 1st cycle,Avg. of Real (Z) (10 cycles),Avg. of Img (Z) (10 cycles),Average discharge voltage (first 15% of capacity) - 1st cycle,Average discharge voltage (first 10% of capacity) - 1st cycle,Average discharge voltage (first 5% of capacity) - 1st cycle,Average discharge voltage (between 5% &15% SoC) - 1st cycle,Average discharge voltage (between 10% &15% SoC) - 1st cycle,Average discharge voltage (between 5% &10% SoC) - 1st cycle,Failure mode
27,84BH4-C4,3501,P13FSI,50,1C-C/20-5 cycles,290,4.27E-06,2.00E-06,242,3.287938634,3.28414,3.564211962,3.563790837,1.05E-06,3.467011,3.479494,3.490349,3.495804,3.49859,3.493018,13.8792,2.02254,3.370828,3.378611,3.393463,3.35951,3.355262,3.363758,80%
28,84BH4-C5,3501,P13FSI,50,C/2-C/20-5 cycles,>300,3.94E-06,1.60E-06,225,3.289274042,3.28553,3.563215988,3.561779009,7.30E-07,3.469644,3.481666,3.4903,3.497182,3.499675,3.49469,13.31604,1.89747,3.374522,3.383374,3.401602,3.360982,3.356819,3.365145,80%
29,84BH4-C6,3501,P13FSI,50,C/2-C/20-5 cycles,>300,7.74E-06,2.75E-06,211,3.290722991,3.2861,3.562057022,3.560753815,1.00E-06,3.467337,3.479575,3.4903,3.495384,3.497935,3.492833,13.40891,1.83566,3.374409,3.382605,3.398749,3.362239,3.358018,3.36646,80%
30,108BH4-C1,3501,P13FSI,50,10mA/cm2-5 cycles,193,4.98E-06,3.29E-06,193,3.288739345,3.29362,3.574165761,3.550733743,6.61E-05,3.490549,3.497539,3.496479,3.511016,3.517523,3.504509,13.3607,1.90821,3.364904,3.371282,3.385078,3.354629,3.351066,3.357869,Short circuit
31,108BH4-C4,3501,P13FSI,50,10mA/cm2-15 cycles,124,8.01E-06,2.47E-06,124,3.270448628,3.27444,3.58598314,3.567281656,4.61E-05,3.492919,3.502205,3.496479,3.516942,3.523214,3.511193,14.70239,2.18886,3.358383,3.365555,3.380771,3.34728,3.343122,3.351091,Short circuit
32,108BH4-C7,3501,P13FSI,50,5mA/cm2-5 cycles,266,3.71E-06,2.17E-07,200,3.286820337,3.28805,3.572742818,3.555294622,3.74E-05,3.492078,3.493462,3.496479,3.496066,3.497223,3.494908,15.38428,2.07299,3.36403,3.371542,3.385377,3.352903,3.349725,3.356399,80%
33,108BH4-C10,3501,P13FSI,50,5mA/cm2-15 cycles,>300,1.56E-06,6.67E-07,196,3.284265366,3.28184,3.574404611,3.564371489,1.69E-05,3.493112,3.496032,3.49994,3.500338,3.501973,3.498838,13.85259,1.99811,3.369931,3.378353,3.395256,3.355686,3.352034,3.359338,80%
34,155BH4-C3,3501,P13FSI,50,1C-10s-120s,279,4.03E-07,5.96E-07,131,3.27312035,3.27553,3.574054899,3.567544037,5.11E-06,3.473717,3.487157,3.498135,3.503772,3.506032,3.501323,15.25569,2.05136,3.363174,3.372041,3.387431,3.350017,3.345828,3.354587,80%
35,155BH4-C4,3501,P13FSI,50,1C-10s-120s,250,1.08E-05,1.62E-07,154,3.291580515,3.29266,3.553341733,3.553633368,9.49E-07,3.462931,3.477874,3.489438,3.496436,3.498831,3.49404,14.37366,1.88677,3.369908,3.379256,3.400369,3.354879,3.351335,3.358424,80%
36,155BH4-C5,3501,P13FSI,50,1C-10s-60s,213,4.27E-06,1.40E-07,213,3.30085656,3.30063,3.545029956,3.546146337,4.90E-07,3.453766,3.471682,3.484149,3.491955,3.49418,3.48973,13.19027,1.76491,3.372477,3.380088,3.394875,3.360757,3.357867,3.363909,Short circuit
37,155BH4-C6,3501,P13FSI,50,1C-10s-60s,187,9.11E-06,1.37E-07,183,3.296445016,3.29693,3.548595442,3.549856846,4.02E-07,3.45549,3.473666,3.486035,3.493784,3.496187,3.491582,13.23122,1.72344,3.370662,3.378084,3.393328,3.358771,3.355452,3.36209,Short circuit
38,160BH4-C6,3501,P13FSI,50,1C-10s-30s,>300,2.36E-06,8.98E-07,213,3.286747024,3.28491,3.563526755,3.559527003,3.53E-06,3.464394,3.479865,3.490892,3.49736,3.499602,3.495119,13.76017,1.80931,3.368868,3.376447,3.391191,3.356971,3.35321,3.360732,80%
39,160BH4-C7,3501,P13FSI,50,1C-10s-30s,290,4.81E-06,1.05E-06,208,3.287074261,3.28783,3.562367152,3.556649478,5.77E-06,3.470713,3.48382,3.493791,3.499154,3.501178,3.497131,14.07019,1.93132,3.369845,3.378508,3.395049,3.356848,3.353341,3.360675,80%
40,160BH4-C8,3501,P13FSI,50,1C-10s-30s,>300,6.67E-07,6.25E-07,219,3.27930257,3.27789,3.571621242,3.566261047,5.11E-06,3.46904,3.483398,3.494881,3.501264,3.50349,3.498853,14.56189,1.99702,3.365985,3.374215,3.390228,3.353323,3.349158,3.357487,80%
41,160BH4-C9,3501,P13FSI,50,1C-10s-60s,249,2.39E-07,2.85E-07,200,3.273465766,3.27429,3.57420434,3.568215652,4.93E-06,3.468752,3.483207,3.494914,3.500955,3.503333,3.498378,15.71823,2.65444,3.362959,3.370776,3.385807,3.351805,3.347509,3.356101,80%
42,160BH4-C10,3501,P13FSI,50,1C-10s-120s,>300,4.03E-07,2.55E-07,224,3.276049359,3.27654,3.57173914,3.566361443,4.33E-06,3.470588,3.484618,3.495859,3.502116,3.504297,3.499752,14.78962,2.00043,3.364716,3.373309,3.390684,3.351567,3.347422,3.355712,80%
43,172BH2-C3,3501,P13FSI,50,C/20,180,1.10E-06,7.98E-07,180,3.285192922,3.28263,3.562676729,3.560567849,1.59E-05,3.474471,3.485825,3.495081,3.500257,3.501616,3.498775,13.65091,2.15825,3.36362,3.371386,3.3864,3.352058,3.349035,3.355382,Short circuit
