cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm
2.0,10001.0,8.2673588,2.6834426
2.0,6746.0,9.2966089,2.7759545
2.0,4551.0005,10.113347,2.7630074
2.0,3070.0,10.870985,2.663825
2.0,2071.0005,11.548008,2.5335505
2.0,1397.0001,12.170387,2.4008534
2.0,942.05835,12.740558,2.2763391
2.0,635.3645,13.272159,2.1781816
2.0,428.71338,13.786943,2.1010711
2.0,289.13373,14.281002,2.0492742
2.0,195.02592,14.774909,2.0190337
2.0,133.4655,15.243658,2.0040784
2.0,88.668892,15.775969,1.9951912
2.0,59.863087,16.306479,1.9661731
2.0,40.354206,16.819847,1.9022318
2.0,27.236528,17.3127,1.796801
2.0,18.356367,17.747757,1.6792719
2.0,12.393575,18.122505,1.567902
2.0,8.3562918,18.446238,1.4924878
2.0,5.6368299,18.748678,1.4756155
2.0,3.8021243,19.029539,1.5183783
2.0,2.5634654,19.317415,1.6491431
2.0,1.7299316,19.636572,1.84769
2.0,1.1664815,19.982805,2.1457913
2.0,0.78696758,20.412113,2.5686429
2.0,0.53085387,20.866186,3.1428816
2.0,0.35855919,21.528215,3.9450834
2.0,0.24214387,22.306215,4.8095531
2.0,0.16298145,23.381666,6.1376686
2.0,0.1094304,24.566885,7.6743178
2.0,0.074505806,26.258093,9.3133373
2.0,0.048894435,28.593891,11.479402
3.0,10001.0,8.4918919,2.7720804
3.0,6746.0,9.3148689,2.5711715
3.0,4551.0005,10.038186,2.4779239
3.0,3070.0,10.682055,2.3361015
3.0,2071.0005,11.241233,2.1927893
3.0,1397.0001,11.749439,2.0800939
3.0,942.05835,12.229115,2.0008543
3.0,635.3645,12.684567,1.9612759
3.0,428.71338,13.143833,1.9328473
3.0,289.13373,13.613194,1.9295313
3.0,195.02592,14.087404,1.9287522
3.0,133.4655,14.552521,1.9452522
3.0,88.668892,15.063948,1.9632967
3.0,59.863087,15.591496,1.9689282
3.0,40.354206,16.114225,1.9351345
3.0,27.236528,16.634619,1.8589404
3.0,18.356367,17.093679,1.7503639
3.0,12.393575,17.500282,1.6399268
3.0,8.3562918,17.856773,1.5671272
3.0,5.6368299,18.167419,1.5346514
3.0,3.8021243,18.465626,1.5720756
3.0,2.5634654,18.7619,1.6791177
3.0,1.7299316,19.089645,1.8711088
3.0,1.1664815,19.441669,2.160661
3.0,0.78696758,19.88184,2.5881994
3.0,0.53085387,20.345219,3.1332653
3.0,0.35855919,20.960632,3.9192111
3.0,0.24214387,21.805027,4.8060136
3.0,0.16298145,22.784534,6.0940681
3.0,0.1094304,23.989059,7.5040584
3.0,0.074505806,25.743536,9.2166977
3.0,0.048894435,28.121632,11.461254
4.0,10001.0,8.5029469,2.2898023
4.0,6746.0,9.2336178,2.5082378
4.0,4551.0005,9.9344788,2.4171977
4.0,3070.0,10.553416,2.2799103
4.0,2071.0005,11.096982,2.1493995
4.0,1397.0001,11.589659,2.0451527
4.0,942.05835,12.053589,1.978958
4.0,635.3645,12.510799,1.9469646
4.0,428.71338,12.975974,1.9315407
4.0,289.13373,13.446062,1.9338948
4.0,195.02592,13.918337,1.9424591
4.0,133.4655,14.388526,1.956261
4.0,88.668892,14.908189,1.9819025
4.0,59.863087,15.429999,1.9955245
4.0,40.354206,15.97773,1.9720507
4.0,27.236528,16.491262,1.8982269
4.0,18.356367,16.976448,1.7927526
4.0,12.393575,17.399054,1.6852361
4.0,8.3562918,17.762005,1.6000189
4.0,5.6368299,18.098864,1.5663519
4.0,3.8021243,18.400402,1.5901688
4.0,2.5634654,18.692616,1.6893744
4.0,1.7299316,19.014872,1.8803695
4.0,1.1664815,19.377621,2.154144
4.0,0.78696758,19.810678,2.5769699
4.0,0.53085387,20.284695,3.1056273
4.0,0.35855919,20.868031,3.8488595
4.0,0.24214387,21.731304,4.762785
4.0,0.16298145,22.637724,5.9925923
4.0,0.1094304,23.890047,7.3220363
4.0,0.074505806,25.600418,9.1262913
4.0,0.048894435,27.891466,11.483993
5.0,10001.0,8.2818518,2.3519771
5.0,6746.0,9.1961851,2.4845951
5.0,4551.0005,9.886097,2.4000881
5.0,3070.0,10.500829,2.2655613
5.0,2071.0005,11.041083,2.1404009
5.0,1397.0001,11.535726,2.0503955
5.0,942.05835,12.003351,1.9854615
5.0,635.3645,12.466245,1.9553288
5.0,428.71338,12.931163,1.950004
5.0,289.13373,13.410175,1.9519403
5.0,195.02592,13.889038,1.9576883
5.0,133.4655,14.351961,1.9776598
5.0,88.668892,14.879552,2.0096405
5.0,59.863087,15.409082,2.0247731
5.0,40.354206,15.955969,2.0073822
5.0,27.236528,16.495827,1.9494267
5.0,18.356367,16.997122,1.8478082
5.0,12.393575,17.430939,1.728439
5.0,8.3562918,17.805809,1.6474252
