cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm
2.0,9997.999,8.4197741,2.1635389
2.0,6812.999,9.0755444,2.3211544
2.0,4642.0,9.6792946,2.2872202
2.0,3162.0007,10.249704,2.2282784
2.0,2154.0,10.775703,2.1652296
2.0,1467.9995,11.27217,2.1260293
2.0,998.00061,11.746636,2.1205359
2.0,680.99933,12.221498,2.1470711
2.0,463.99887,12.717765,2.2176399
2.0,316.00006,13.25977,2.3095806
2.0,215.00046,13.837968,2.4078
2.0,146.99995,14.450847,2.4947047
2.0,102.00077,15.094473,2.5473261
2.0,68.000511,15.814163,2.5543814
2.0,46.000347,16.528208,2.494581
2.0,32.00024,17.152699,2.3694611
2.0,22.000166,17.743713,2.1887681
2.0,14.99895,18.239723,2.0032799
2.0,10.000075,18.680319,1.8095604
2.0,6.998889,19.000666,1.7067055
2.0,4.9988737,19.27309,1.6645346
2.0,2.9988587,19.67016,1.7053936
2.0,2.000015,19.997591,1.8714614
2.0,0.99884343,20.698631,2.3402081
2.0,0.99884343,20.602571,2.3652751
2.0,0.0,0.0,0.0
3.0,9997.999,8.3216219,2.11165
3.0,6812.999,8.7777348,2.173969
3.0,4642.0,9.3500414,2.1134715
3.0,3162.0007,9.8696985,2.0452735
3.0,2154.0,10.347159,1.9639456
3.0,1467.9995,10.787807,1.9104337
3.0,998.00061,11.211945,1.8790283
3.0,680.99933,11.61815,1.9216107
3.0,463.99887,12.0511,1.9805288
3.0,316.00006,12.51875,2.078208
3.0,215.00046,13.038077,2.1894162
3.0,146.99995,13.602442,2.2998238
3.0,102.00077,14.169398,2.3848145
3.0,68.000511,14.858278,2.4419322
3.0,46.000347,15.532349,2.4402602
3.0,32.00024,16.153765,2.3680637
3.0,22.000166,16.758673,2.2461114
3.0,14.99895,17.303421,2.0885215
3.0,10.000075,17.791416,1.9311529
3.0,6.998889,18.152384,1.818302
3.0,4.9988737,18.462179,1.7677537
3.0,2.9988587,18.896338,1.8009475
3.0,2.000015,19.24637,1.9487741
3.0,0.99884343,19.957411,2.4041948
3.0,0.99884343,19.90239,2.4399161
3.0,0.0,0.0,0.0
4.0,9997.999,8.0942535,1.9960139
4.0,6812.999,8.6629925,2.1391807
4.0,4642.0,9.2205572,2.1044714
4.0,3162.0007,9.7390556,2.0468366
4.0,2154.0,10.21948,1.9807312
4.0,1467.9995,10.67664,1.9430242
4.0,998.00061,11.106287,1.9355479
4.0,680.99933,11.524579,1.963213
4.0,463.99887,11.969137,2.0400579
4.0,316.00006,12.455342,2.1411171
4.0,215.00046,12.994219,2.2621937
4.0,146.99995,13.568611,2.3580766
4.0,102.00077,14.161213,2.4463346
4.0,68.000511,14.851132,2.5074165
4.0,46.000347,15.523423,2.5136316
4.0,32.00024,16.184221,2.4668107
4.0,22.000166,16.81028,2.3632808
4.0,14.99895,17.387785,2.2158601
4.0,10.000075,17.913109,2.0427275
4.0,6.998889,18.308916,1.9320391
4.0,4.9988737,18.639484,1.8654579
4.0,2.9988587,19.093044,1.8834753
4.0,2.000015,19.455379,2.0161247
4.0,0.99884343,20.147875,2.5665016
4.0,0.99884343,20.121813,2.4828701
4.0,0.0,0.0,0.0
5.0,9997.999,8.047739,1.9577161
5.0,6812.999,8.5994787,2.1068192
5.0,4642.0,9.1406431,2.0624661
5.0,3162.0007,9.6523142,2.0028124
5.0,2154.0,10.118347,1.9353656
5.0,1467.9995,10.556043,1.9040793
5.0,998.00061,10.972331,1.8951608
5.0,680.99933,11.382389,1.9350262
5.0,463.99887,11.8287,2.0039308
5.0,316.00006,12.314254,2.1147151
5.0,215.00046,12.846227,2.2302165
5.0,146.99995,13.41743,2.3410711
5.0,102.00077,14.005864,2.4158106
5.0,68.000511,14.679551,2.4703362
5.0,46.000347,15.36868,2.4665809
5.0,32.00024,16.001797,2.4025786
5.0,22.000166,16.613533,2.2986352
5.0,14.99895,17.159164,2.1277213
5.0,10.000075,17.661539,1.9617995
5.0,6.998889,18.04022,1.8393712
5.0,4.9988737,18.34882,1.7867582
5.0,2.9988587,18.775993,1.8037511
5.0,2.000015,19.125002,1.9502174
5.0,0.99884343,19.862108,2.3959377
5.0,0.99884343,19.769873,2.3910329
5.0,0.0,0.0,0.0
6.0,9997.999,8.1094017,1.9883294
6.0,6812.999,8.5521517,2.070755
6.0,4642.0,9.0892963,2.0215645
6.0,3162.0007,9.5784721,1.9644073
6.0,2154.0,10.037163,1.909354
6.0,1467.9995,10.461513,1.8730637
6.0,998.00061,10.877127,1.8719528
6.0,680.99933,11.28818,1.9172301
6.0,463.99887,11.731047,1.9966457
6.0,316.00006,12.206246,2.1023095
6.0,215.00046,12.740475,2.2255938
6.0,146.99995,13.3163,2.3265665
6.0,102.00077,13.899819,2.3981402
6.0,68.000511,14.579075,2.4389107
6.0,46.000347,15.247607,2.4261262
6.0,32.00024,15.877048,2.3640521
6.0,22.000166,16.473061,2.2282801
6.0,14.99895,17.015238,2.0683334
6.0,10.000075,17.490398,1.8833636
6.0,6.998889,17.842388,1.7798302
6.0,4.9988737,18.148407,1.7272133
6.0,2.9988587,18.569178,1.747269
6.0,2.000015,18.906155,1.8707458
6.0,0.99884343,19.578304,2.3021367
6.0,0.99884343,19.522543,2.3117647
6.0,0.0,0.0,0.0
7.0,9997.999,7.8095717,2.13905
7.0,6812.999,8.4809313,2.0372815
7.0,4642.0,9.0065012,1.9959888
7.0,3162.0007,9.4931583,1.9462675
7.0,2154.0,9.9460907,1.8978252
7.0,1467.9995,10.376125,1.8723456
7.0,998.00061,10.794113,1.8732932
7.0,680.99933,11.206289,1.9191298
7.0,463.99887,11.64589,2.0001166
7.0,316.00006,12.137024,2.1029615
7.0,215.00046,12.669343,2.2191501
7.0,146.99995,13.243572,2.3186617
7.0,102.00077,13.8307,2.3995531
7.0,68.000511,14.510489,2.4277468
7.0,46.000347,15.183304,2.4037356
7.0,32.00024,15.799402,2.3334181
7.0,22.000166,16.375111,2.1891718
7.0,14.99895,16.916477,2.0166481
7.0,10.000075,17.380316,1.8446927
7.0,6.998889,17.724346,1.7305676
7.0,4.9988737,18.005655,1.6684035
7.0,2.9988587,18.411739,1.6866024
7.0,2.000015,18.732647,1.8056744
7.0,0.99884343,19.338133,2.2256238
7.0,0.99884343,19.337744,2.2577236
7.0,0.0,0.0,0.0
8.0,9997.999,7.7501578,2.0483623
8.0,6812.999,8.4428682,2.0089517
8.0,4642.0,8.9542408,1.9791867
8.0,3162.0007,9.438097,1.9246775
8.0,2154.0,9.8929033,1.8770499
8.0,1467.9995,10.315866,1.8526151
8.0,998.00061,10.718671,1.8596023
8.0,680.99933,11.135261,1.9093494
8.0,463.99887,11.578539,1.9917322
8.0,316.00006,12.060568,2.0979671
8.0,215.00046,12.59822,2.213058
8.0,146.99995,13.169304,2.3063951
8.0,102.00077,13.756221,2.3804059
8.0,68.000511,14.440616,2.4183822
8.0,46.000347,15.101813,2.3871598
8.0,32.00024,15.707935,2.3076563
8.0,22.000166,16.293816,2.1626348
8.0,14.99895,16.820318,1.9971139
8.0,10.000075,17.270124,1.8243287
8.0,6.998889,17.609646,1.7075598
8.0,4.9988737,17.884695,1.6455176
8.0,2.9988587,18.285967,1.6660151
8.0,2.000015,18.602091,1.7804093
