cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
5.0,10001.0,7.5527201,2.3202269,7.901078013564201,-17.077174656381782
5.0,6723.9995,8.454649,2.4825668,8.8115962021454,-16.363997379753226
5.0,4521.0005,9.1449509,2.5427465,9.491874774072457,-15.538548609462808
5.0,3039.9998,9.8247223,2.5749552,10.156552690461677,-14.68629056341318
5.0,2043.9991,10.495939,2.5992093,10.812984069022182,-13.908883040196033
5.0,1373.6262,11.197389,2.6120582,11.498015848723997,-13.13079086046936
5.0,924.07684,11.902369,2.5905573,12.181025200562729,-12.278957000946834
5.0,620.75903,12.602773,2.5231194,12.852860335201084,-11.321143869750808
5.0,417.33029,13.249752,2.4066522,13.466547548398175,-10.294826671843648
5.0,280.59583,13.837873,2.280443,14.024519579663968,-9.358074214183283
5.0,188.67896,14.386815,2.1852567,14.551831248647709,-8.636811094627953
5.0,126.85777,14.895548,2.1233726,15.046131111310135,-8.112901699074218
5.0,85.318459,15.425632,2.075546,15.564639854411666,-7.6632239319585835
5.0,57.369469,15.962925,2.0186269,16.090053732571207,-7.207208833938675
5.0,38.573051,16.490049,1.9345123,16.603133856632375,-6.691009248602039
5.0,25.937332,16.988895,1.816707,17.085753645797247,-6.103727509617748
5.0,17.425045,17.424116,1.6811215,17.50502750295521,-5.510979432051378
5.0,11.723022,17.797226,1.5654204,17.865939502970786,-5.026723963819812
5.0,7.8813171,18.120792,1.480727,18.181189596827625,-4.671502779527382
5.0,5.2992253,18.406668,1.4608774,18.46454953796747,-4.5378675749748725
5.0,3.5623088,18.69241,1.5131205,18.753552336973925,-4.627910377760521
5.0,2.3934989,18.979322,1.640769,19.05011250599442,-4.9409555271337045
5.0,1.6111881,19.273973,1.8532097,19.362861911321453,-5.492156857904153
5.0,1.0826625,19.650269,2.1680052,19.769504756558472,-6.295953514053404
5.0,0.72875988,20.081738,2.6008127,20.249455000101246,-7.379377285345889
5.0,0.48894435,20.528675,3.2425165,20.783176141013605,-8.9757493646668
5.0,0.32829121,21.251984,3.9735923,21.620274274459963,-10.590600576376103
5.0,0.22118911,22.056162,5.1063876,22.639555571867522,-13.035315343858178
5.0,0.14901161,23.082132,6.2638054,23.916941187252462,-15.182728332479378
5.0,0.10011718,24.609455,7.8178706,25.82139376786949,-17.62388248195449
6.0,10001.0,7.882637,2.3675039,8.23049456535172,-16.71733267904541
6.0,6723.9995,8.3831959,2.390933,8.717484391053752,-15.918437447478563
6.0,4521.0005,9.0453854,2.4227202,9.364217543501496,-14.994187337711185
6.0,3039.9998,9.6862335,2.4262147,9.98547130520229,-14.062163342476056
6.0,2043.9991,10.310505,2.4356644,10.594289708350075,-13.29139110227267
6.0,1373.6262,10.940531,2.4432797,11.210032749925091,-12.588932994136176
6.0,924.07684,11.587871,2.4302576,11.83997070583364,-11.844646506740004
6.0,620.75903,12.244506,2.3803701,12.473735967905125,-11.001259064355935
6.0,417.33029,12.86186,2.3012848,13.06611473967342,-10.144201139380655
6.0,280.59583,13.432361,2.2025833,13.6117484265527,-9.312253477162479
6.0,188.67896,13.959009,2.1211336,14.119247147462572,-8.640251935895531
6.0,126.85777,14.465697,2.0591536,14.611519539192424,-8.101475382432357
6.0,85.318459,14.980255,2.0323107,15.117484137460158,-7.725918286098171
6.0,57.369469,15.510613,1.9944333,15.638314481551964,-7.32717569632725
6.0,38.573051,16.036366,1.9283316,16.151888349215227,-6.856747754089837
6.0,25.937332,16.535355,1.8155739,16.634730943492478,-6.265948425199607
6.0,17.425045,16.977612,1.6888433,17.061403837741455,-5.680793581006367
6.0,11.723022,17.356838,1.5775579,17.428382434583433,-5.193327326687268
6.0,7.8813171,17.686825,1.4966369,17.750033819434446,-4.8367745017476125
6.0,5.2992253,17.981003,1.4760066,18.04148176756146,-4.692717273197824
6.0,3.5623088,18.265631,1.5232335,18.329034784289192,-4.767060837828475
6.0,2.3934989,18.551043,1.6466531,18.623980853179283,-5.072472475677255
6.0,1.6111881,18.875422,1.8606412,18.966906478211502,-5.629733086415345
6.0,1.0826625,19.22616,2.1842186,19.34983305453011,-6.481389895110606
6.0,0.72875988,19.662457,2.6353106,19.838273040648506,-7.6337197523845495
6.0,0.48894435,20.179169,3.1788936,20.42802550543449,-8.952427384023087
6.0,0.32829121,20.847496,4.0432186,21.235953148314344,-10.975834915409767
6.0,0.22118911,21.605379,4.9380679,22.162511507467997,-12.874234284638677
6.0,0.14901161,22.786364,6.1508603,23.601937775755026,-15.106158107102527
6.0,0.10011718,24.107746,7.7585464,25.325450824051856,-17.839626273669218
7.0,10001.0,7.4692521,2.1167948,7.7634107941459245,-15.82279191746985
7.0,6723.9995,8.292305,2.3304355,8.6135504777464,-15.697270028664297
7.0,4521.0005,8.9446411,2.3514383,9.248560238573143,-14.729096537413259
7.0,3039.9998,9.5608683,2.3500097,9.845443018982893,-13.80924142971898
7.0,2043.9991,10.15813,2.3511128,10.426664687004365,-13.03171716485261
7.0,1373.6262,10.760119,2.3585606,11.015578468606781,-12.363398582309172
7.0,924.07684,11.387437,2.3569632,11.628800323125478,-11.693913008265207
7.0,620.75903,12.012326,2.3177516,12.233885254062937,-10.920889089139541
7.0,417.33029,12.610107,2.2496443,12.809203645347024,-10.1151580999708
7.0,280.59583,13.174638,2.1560731,13.349896540557443,-9.294254159896388
7.0,188.67896,13.69052,2.0883315,13.848879605379354,-8.67295766426361
7.0,126.85777,14.193293,2.0492408,14.340465614485245,-8.215644312139297
7.0,85.318459,14.704379,2.0211468,14.84263440777247,-7.826379229577153
7.0,57.369469,15.230639,1.9908975,15.360209542966114,-7.44728479777516
7.0,38.573051,15.76531,1.9298967,15.882994071294332,-6.979090132275865
7.0,25.937332,16.260658,1.8279048,16.36307533903169,-6.413848424981326
7.0,17.425045,16.713726,1.7058518,16.80055258515741,-5.827595831533048
7.0,11.723022,17.102877,1.5973734,17.17731071664469,-5.335828316422884
7.0,7.8813171,17.440214,1.5125898,17.505684570129215,-4.956859268011047
7.0,5.2992253,17.732971,1.4947854,17.79586030173574,-4.818307388519423
7.0,3.5623088,18.036263,1.5288684,18.100945323095356,-4.845172213836855
7.0,2.3934989,18.321682,1.6507622,18.395897563045757,-5.14838182564003
7.0,1.6111881,18.63401,1.8555439,18.72616810361712,-5.686672358371748
7.0,1.0826625,19.002794,2.1397688,19.12288655835958,-6.424605997190752
7.0,0.72875988,19.414944,2.5548863,19.5823260755474,-7.496694271273509
7.0,0.48894435,19.910854,3.1857018,20.16409687954904,-9.090179167168968
7.0,0.32829121,20.57305,3.8469472,20.929629453530413,-10.591404263959245
7.0,0.22118911,21.432758,4.8818274,21.981704989603394,-12.831579314625136
7.0,0.14901161,22.366571,6.0329752,23.16592946682382,-15.09525093558299
7.0,0.10011718,23.76585,7.3773694,24.884557570641203,-17.24533135279537
8.0,10001.0,7.5688515,2.4009306,7.940527739078091,-17.599652501659495
8.0,6723.9995,8.2579937,2.2939646,8.57069037681871,-15.524609939072018
8.0,4521.0005,8.8895369,2.3091049,9.184543088018348,-14.561086372545587
8.0,3039.9998,9.4979315,2.3002625,9.772507884243353,-13.614081401047823
8.0,2043.9991,10.078702,2.2991664,10.33762062273969,-12.85048812215022
8.0,1373.6262,10.665505,2.3101418,10.912825117316425,-12.221440401446971
8.0,924.07684,11.274539,2.3127365,11.509299708538016,-11.592226865451808
8.0,620.75903,11.886676,2.2780027,12.102989821948265,-10.84881736905886
8.0,417.33029,12.483626,2.2143171,12.67849038045257,-10.058377000009234
8.0,280.59583,13.03597,2.1391232,13.210312710366784,-9.318838173483067
