cycle number,time/s,Ecell/V,I/mA,Capacity/mA.h
2.0,382859.1266721312,3.0925379,0.88006896,4.889271987809075e-07
2.0,382859.1486721337,3.0978177,0.87999016,5.86651345094045e-06
2.0,382859.1906721378,3.103137,0.87997043,1.613332804706362e-05
2.0,382859.2546721445,3.1081412,0.88000989,3.177850613991419e-05
2.0,382859.3406721537,3.1131454,0.88016748,5.280175212356779e-05
2.0,382859.4426721642,3.1181493,0.88004929,7.77366127901607e-05
2.0,382859.5646721767,3.1231928,0.87999016,0.000107560198340151
2.0,382859.7006721916,3.1283152,0.88000989,0.0001408062523272302
2.0,382859.8486722065,3.1333981,0.87999016,0.0001769862416717741
2.0,382860.0006722223,3.1384416,0.88010836,0.0002141444358891911
2.0,382860.160672239,3.1434457,0.87995076,0.0002532568721638785
2.0,382860.332672257,3.1484499,0.88014781,0.0002953040209743711
2.0,382860.5106722759,3.1534538,0.88024634,0.0003388172070185343
2.0,382860.6946722949,3.158458,0.88006896,0.0003837972949279679
2.0,382860.8866723152,3.1635015,0.88000989,0.0004307336721486515
2.0,382861.0866723359,3.168545,0.88006896,0.0004796253749065929
2.0,382861.2886723569,3.1735492,0.87993103,0.0005290060596995883
2.0,382861.5086723799,3.178632,0.88014781,0.0005827870564659437
2.0,382861.7266724026,3.1836362,0.87997043,0.000636078710158666
2.0,382861.9586724266,3.1886797,0.87995076,0.0006927929087148772
2.0,382862.198672452,3.1937625,0.88000989,0.0007514623455868827
2.0,382862.4446724774,3.198885,0.88014781,0.0008115998010834059
2.0,382862.7046725042,3.2038889,0.88014781,0.0008751592654652066
2.0,382862.9686725321,3.2088931,0.88010836,0.0009396972958578004
2.0,382863.2386725601,3.2138972,0.88008869,0.001005701757371426
2.0,382863.5146725895,3.2189014,0.87997043,0.001073172814481788
2.0,382863.8066726197,3.2239053,0.88012809,0.001144553953872787
2.0,382864.1126726512,3.2290277,0.88000989,0.001219358864559068
2.0,382864.4306726847,3.2340713,0.88004929,0.001297096484402816
2.0,382864.7566727186,3.2390754,0.87997043,0.001376790174345176
2.0,382865.0906727535,3.2441189,0.87997043,0.001458439387149281
2.0,382865.4366727895,3.2491229,0.88008869,0.001543023049765163
2.0,382865.7846728256,3.2541664,0.88008869,0.001628095267646843
2.0,382866.1566728645,3.2591705,0.88000989,0.001719034831093418
2.0,382866.5366729042,3.2641747,0.88002956,0.001811929238239925
2.0,382866.9266729448,3.2692182,0.87995076,0.001907267306943735
2.0,382867.3346729875,3.2742617,0.87999016,0.00200700620237324
2.0,382867.7526730308,3.2792659,0.87999016,0.002109189690119691
2.0,382868.1886730765,3.2843094,0.88004929,0.0022157733473844
2.0,382868.6286731223,3.2893133,0.88000989,0.002323333414594333
2.0,382869.0706731686,3.2943175,0.88006896,0.002431381335887644
2.0,382869.5506732184,3.2993217,0.87999016,0.002548719552954038
2.0,382870.0406732699,3.3043258,0.87999016,0.002668500829438369
2.0,382870.5446733227,3.3093297,0.87999016,0.002791706282397111
2.0,382871.0546733756,3.3143339,0.87997043,0.002916377389596568
2.0,382871.5866734311,3.3193381,0.87997043,0.003046425798336665
2.0,382872.138673489,3.3243816,0.88006896,0.003181363567014536
2.0,382872.6966735469,3.3294251,0.87999016,0.003317769003775385
2.0,382873.2966736099,3.3344686,0.87999016,0.003464441014428934
2.0,382873.9186736746,3.3395121,0.88008869,0.003616491782433457
2.0,382874.55067374,3.344516,0.88008869,0.003770987766914897
2.0,382875.2246738104,3.3495595,0.88010836,0.003935749394761191
2.0,382875.9226738829,3.3545637,0.87993103,0.004106378181775411
2.0,382876.6766739618,3.3596072,0.87999016,0.004290695190131664
2.0,382877.4606740437,3.3646114,0.88004929,0.004482347299754619
2.0,382878.2946741311,3.3696156,0.88018721,0.004686221363544464
2.0,382879.2026742259,3.3746591,0.87999016,0.004908184902403089
2.0,382880.1686743265,3.379663,0.88006896,0.00514432676076889
2.0,382881.2246744363,3.3847065,0.88008869,0.005402470628420511
2.0,382882.3626745548,3.3897107,0.87995076,0.005680658069915241
2.0,382883.6226746866,3.3947148,0.87999016,0.00598866804636187
2.0,382884.9886748288,3.3997977,0.88006896,0.006322590058909522
2.0,382886.5186749883,3.4048018,0.88006896,0.006696604639126195
2.0,382888.1826751623,3.409806,0.88000989,0.007103374518189165
2.0,382889.992675351,3.4148495,0.88000989,0.007545836762090524
2.0,382891.9786755582,3.419893,0.87995076,0.008031322290665574
2.0,382894.1246757819,3.424897,0.87989163,0.008555921689007017
2.0,382896.4046760197,3.4299011,0.87999016,0.00911327412025796
2.0,382898.9006762803,3.4349053,0.88002956,0.00972343109521601
2.0,382901.498676551,3.4399095,0.88004929,0.01035852193540997
2.0,382904.3646768499,3.4449923,0.88018721,0.01105912475112412
2.0,382907.4146771682,3.4499965,0.88010836,0.0118047100094623
2.0,382910.6686775079,3.4550004,0.88018721,0.01260015927447213
2.0,382914.1866778745,3.4600046,0.87997043,0.01346015953024228
2.0,382917.9626782686,3.4650087,0.88016748,0.01438323489950763
2.0,382922.0726786973,3.4700129,0.88000989,0.01538795805861553
2.0,382926.574679167,3.4750168,0.88002956,0.01648851009756327
2.0,382931.5886796899,3.480021,0.88006896,0.01771422796054019
2.0,382937.3566802917,3.4850252,0.88012809,0.01912426220801141
2.0,382944.7306810608,3.4900291,0.88014781,0.02092690308822526
2.0,382956.1106822472,3.4950333,0.87993103,0.0237088383474946
2.0,382986.1106853765,3.4988947,0.88006896,0.03104259548720386
2.0,383016.1106885057,3.4990523,0.88012809,0.03837633311119344
2.0,383046.1106916349,3.4984612,0.88002956,0.04571007553882069
2.0,383076.1106947642,3.4977522,0.87999016,0.05304381969630718
2.0,383106.1106978934,3.4972398,0.88006896,0.06037756931745343
2.0,383136.1107010227,3.4968457,0.88006896,0.0677113249692983
2.0,383166.1107041519,3.4964912,0.88000989,0.07504508160521585
2.0,383196.1107072812,3.4962943,0.88002956,0.08237884245514868
2.0,383226.1107104104,3.4963336,0.88006896,0.08971259128553997
2.0,383256.1107135396,3.496176,0.88004929,0.09704634694867662
2.0,383286.1107166689,3.4962547,0.88008869,0.1043801062993871
2.0,383316.1107197981,3.4964125,0.88014781,0.1117138593228327
2.0,383346.1107229274,3.4965305,0.87993103,0.1190476217491759
2.0,383376.1107260566,3.4966881,0.87989163,0.1263813778512014
2.0,383406.1107291859,3.4970036,0.88004929,0.1337151396649744
2.0,383436.1107323151,3.4970429,0.88000989,0.1410489035052723
2.0,383466.1107354444,3.4972005,0.88000989,0.1483826772293779
2.0,383496.1107385736,3.4975944,0.88014781,0.1557164561549491
2.0,383526.1107417028,3.4978702,0.88018721,0.1630502494534519
2.0,383556.1107448321,3.4981461,0.88002956,0.1703840399473243
2.0,383586.1107479613,3.4985008,0.88016748,0.1777178180853856
2.0,383616.1107510906,3.4987371,0.87993103,0.185051592116985
2.0,383646.1107542198,3.4990129,0.88006896,0.1923853687436381
2.0,383676.1107573491,3.4992495,0.88006896,0.1997191617246799
2.0,383706.1107604783,3.4996433,0.88014781,0.2070529702931642
2.0,383736.1107636075,3.4999981,0.87999016,0.2143867608541249
2.0,383766.1107667368,3.5003133,0.87989163,0.2217205613761808
2.0,383796.110769866,3.5005496,0.88022661,0.2290543563711974
2.0,383826.1107729953,3.5008254,0.88010836,0.2363881503254506
2.0,383856.1107761245,3.5013378,0.87997043,0.2437219658635059
2.0,383886.1107792538,3.5014954,0.88004929,0.2510557779027687
