cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
2.000000000000000E+000	9.9979990E+003	8.0703106E+000	2.0909793E+000
2.000000000000000E+000	6.8129990E+003	8.6746445E+000	2.0802417E+000
2.000000000000000E+000	4.6420000E+003	9.2329988E+000	2.1773100E+000
2.000000000000000E+000	3.1620007E+003	9.7997351E+000	2.2354736E+000
2.000000000000000E+000	2.1540000E+003	1.0363752E+001	2.2844932E+000
2.000000000000000E+000	1.4679995E+003	1.0926379E+001	2.3327811E+000
2.000000000000000E+000	9.9800061E+002	1.1507975E+001	2.3952134E+000
2.000000000000000E+000	6.8099933E+002	1.2097136E+001	2.4645715E+000
2.000000000000000E+000	4.6399887E+002	1.2716316E+001	2.5230522E+000
2.000000000000000E+000	3.1600006E+002	1.3361485E+001	2.5650027E+000
2.000000000000000E+000	2.1500046E+002	1.4013545E+001	2.5891476E+000
2.000000000000000E+000	1.4699995E+002	1.4664572E+001	2.6075842E+000
2.000000000000000E+000	1.0200077E+002	1.5296975E+001	2.6026087E+000
2.000000000000000E+000	6.8000511E+001	1.6006382E+001	2.5644543E+000
2.000000000000000E+000	4.6000347E+001	1.6683783E+001	2.4934156E+000
2.000000000000000E+000	3.2000240E+001	1.7287359E+001	2.3877454E+000
2.000000000000000E+000	2.2000166E+001	1.7865393E+001	2.2467625E+000
2.000000000000000E+000	1.4998950E+001	1.8379156E+001	2.0956337E+000
2.000000000000000E+000	1.0000075E+001	1.8842802E+001	1.9427252E+000
2.000000000000000E+000	6.9988890E+000	1.9197361E+001	1.8699443E+000
2.000000000000000E+000	4.9988737E+000	1.9521811E+001	1.8784480E+000
2.000000000000000E+000	2.9988587E+000	1.9970646E+001	1.9672575E+000
2.000000000000000E+000	2.0000150E+000	2.0351006E+001	2.1473427E+000
2.000000000000000E+000	9.9884343E-001	2.1163099E+001	2.8397024E+000
2.000000000000000E+000	9.9884343E-001	2.1116123E+001	2.7487147E+000
2.000000000000000E+000	0.0000000E+000	0.0000000E+000	0.0000000E+000
3.000000000000000E+000	9.9979990E+003	8.0651236E+000	1.7480329E+000
3.000000000000000E+000	6.8129990E+003	8.5818462E+000	2.0224042E+000
3.000000000000000E+000	4.6420000E+003	9.1295605E+000	2.1012630E+000
3.000000000000000E+000	3.1620007E+003	9.6736364E+000	2.1567147E+000
3.000000000000000E+000	2.1540000E+003	1.0209495E+001	2.2025094E+000
3.000000000000000E+000	1.4679995E+003	1.0744217E+001	2.2589183E+000
3.000000000000000E+000	9.9800061E+002	1.1303630E+001	2.3170149E+000
3.000000000000000E+000	6.8099933E+002	1.1874510E+001	2.3838351E+000
3.000000000000000E+000	4.6399887E+002	1.2477264E+001	2.4390197E+000
3.000000000000000E+000	3.1600006E+002	1.3099950E+001	2.4900303E+000
3.000000000000000E+000	2.1500046E+002	1.3733601E+001	2.5267894E+000
3.000000000000000E+000	1.4699995E+002	1.4366010E+001	2.5567493E+000
3.000000000000000E+000	1.0200077E+002	1.4983879E+001	2.5556149E+000
3.000000000000000E+000	6.8000511E+001	1.5681844E+001	2.5403528E+000
3.000000000000000E+000	4.6000347E+001	1.6360548E+001	2.4905815E+000
3.000000000000000E+000	3.2000240E+001	1.6976168E+001	2.3906066E+000
3.000000000000000E+000	2.2000166E+001	1.7556055E+001	2.2565973E+000
3.000000000000000E+000	1.4998950E+001	1.8076544E+001	2.0984600E+000
3.000000000000000E+000	1.0000075E+001	1.8557695E+001	1.9527471E+000
3.000000000000000E+000	6.9988890E+000	1.8911253E+001	1.8636435E+000
3.000000000000000E+000	4.9988737E+000	1.9220999E+001	1.8476914E+000
3.000000000000000E+000	2.9988587E+000	1.9672615E+001	1.9383657E+000
3.000000000000000E+000	2.0000150E+000	2.0062759E+001	2.1076050E+000
3.000000000000000E+000	9.9884343E-001	2.0796181E+001	2.7615743E+000
3.000000000000000E+000	9.9884343E-001	2.0798365E+001	2.6821194E+000
3.000000000000000E+000	0.0000000E+000	0.0000000E+000	0.0000000E+000
4.000000000000000E+000	9.9979990E+003	8.0069551E+000	1.7945827E+000
4.000000000000000E+000	6.8129990E+003	8.5999670E+000	2.0194473E+000
4.000000000000000E+000	4.6420000E+003	9.1417141E+000	2.0842710E+000
4.000000000000000E+000	3.1620007E+003	9.6764460E+000	2.1322072E+000
4.000000000000000E+000	2.1540000E+003	1.0209579E+001	2.1720023E+000
4.000000000000000E+000	1.4679995E+003	1.0731196E+001	2.2220953E+000
4.000000000000000E+000	9.9800061E+002	1.1274774E+001	2.2781553E+000
4.000000000000000E+000	6.8099933E+002	1.1842546E+001	2.3466773E+000
4.000000000000000E+000	4.6399887E+002	1.2429478E+001	2.4149990E+000
4.000000000000000E+000	3.1600006E+002	1.3039417E+001	2.4653893E+000
4.000000000000000E+000	2.1500046E+002	1.3664865E+001	2.5028403E+000
4.000000000000000E+000	1.4699995E+002	1.4294612E+001	2.5398166E+000
4.000000000000000E+000	1.0200077E+002	1.4910825E+001	2.5412738E+000
4.000000000000000E+000	6.8000511E+001	1.5613340E+001	2.5433640E+000
4.000000000000000E+000	4.6000347E+001	1.6292788E+001	2.4958966E+000
4.000000000000000E+000	3.2000240E+001	1.6909431E+001	2.4191692E+000
4.000000000000000E+000	2.2000166E+001	1.7497000E+001	2.2776828E+000
4.000000000000000E+000	1.4998950E+001	1.8042604E+001	2.1268241E+000
4.000000000000000E+000	1.0000075E+001	1.8518612E+001	1.9717157E+000
4.000000000000000E+000	6.9988890E+000	1.8892054E+001	1.8769464E+000
4.000000000000000E+000	4.9988737E+000	1.9202971E+001	1.8581702E+000
4.000000000000000E+000	2.9988587E+000	1.9641012E+001	1.9401788E+000
4.000000000000000E+000	2.0000150E+000	2.0031311E+001	2.0980523E+000
4.000000000000000E+000	9.9884343E-001	2.0818434E+001	2.7490039E+000
4.000000000000000E+000	9.9884343E-001	2.0761986E+001	2.6546900E+000
4.000000000000000E+000	0.0000000E+000	0.0000000E+000	0.0000000E+000
5.000000000000000E+000	9.9979990E+003	7.9227123E+000	1.9835304E+000
5.000000000000000E+000	6.8129990E+003	8.5732841E+000	1.9946030E+000
5.000000000000000E+000	4.6420000E+003	9.1015120E+000	2.0533991E+000
5.000000000000000E+000	3.1620007E+003	9.6278706E+000	2.0856507E+000
5.000000000000000E+000	2.1540000E+003	1.0135653E+001	2.1258984E+000
5.000000000000000E+000	1.4679995E+003	1.0651361E+001	2.1730087E+000
5.000000000000000E+000	9.9800061E+002	1.1177297E+001	2.2297499E+000
5.000000000000000E+000	6.8099933E+002	1.1731900E+001	2.3012261E+000
5.000000000000000E+000	4.6399887E+002	1.2310761E+001	2.3743727E+000
5.000000000000000E+000	3.1600006E+002	1.2914717E+001	2.4280772E+000
5.000000000000000E+000	2.1500046E+002	1.3531845E+001	2.4728467E+000
5.000000000000000E+000	1.4699995E+002	1.4154385E+001	2.5042748E+000
5.000000000000000E+000	1.0200077E+002	1.4768543E+001	2.5248823E+000
5.000000000000000E+000	6.8000511E+001	1.5445351E+001	2.5134230E+000
5.000000000000000E+000	4.6000347E+001	1.6124784E+001	2.4855456E+000
5.000000000000000E+000	3.2000240E+001	1.6741339E+001	2.3983002E+000
5.000000000000000E+000	2.2000166E+001	1.7334606E+001	2.2649810E+000
5.000000000000000E+000	1.4998950E+001	1.7866461E+001	2.1211584E+000
5.000000000000000E+000	1.0000075E+001	1.8360529E+001	1.9620608E+000
5.000000000000000E+000	6.9988890E+000	1.8726879E+001	1.8690628E+000
5.000000000000000E+000	4.9988737E+000	1.9046270E+001	1.8413777E+000
5.000000000000000E+000	2.9988587E+000	1.9500151E+001	1.9269501E+000
5.000000000000000E+000	2.0000150E+000	1.9856451E+001	2.0899184E+000
5.000000000000000E+000	9.9884343E-001	2.0712034E+001	2.6506178E+000
5.000000000000000E+000	9.9884343E-001	2.0594435E+001	2.6357095E+000
5.000000000000000E+000	0.0000000E+000	0.0000000E+000	0.0000000E+000
6.000000000000000E+000	9.9979990E+003	8.2183790E+000	1.9131525E+000
6.000000000000000E+000	6.8129990E+003	8.6043406E+000	1.9993225E+000
6.000000000000000E+000	4.6420000E+003	9.1296196E+000	2.0480928E+000
6.000000000000000E+000	3.1620007E+003	9.6436100E+000	2.0914879E+000
6.000000000000000E+000	2.1540000E+003	1.0162888E+001	2.1189933E+000
6.000000000000000E+000	1.4679995E+003	1.0674768E+001	2.1659925E+000
6.000000000000000E+000	9.9800061E+002	1.1203149E+001	2.2300591E+000
6.000000000000000E+000	6.8099933E+002	1.1749250E+001	2.2999859E+000
