cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
2.0,9997.999,8.9679108,2.2733471,9.251569118470394,-14.224716735732198
2.0,6812.999,9.5446758,2.2615089,9.808937691304031,-13.329804759735882
2.0,4642.0,10.129288,2.3467371,10.397579064544805,-13.044063911154614
2.0,3162.0007,10.715904,2.4184771,10.985428076340057,-12.718031086250527
2.0,2154.0,11.323273,2.4962058,11.595152212389566,-12.431962046861845
2.0,1467.9995,11.949748,2.5737348,12.223771434554681,-12.15468016147115
2.0,998.00061,12.603587,2.6471918,12.878588031789674,-11.861688458185547
2.0,680.99933,13.273591,2.7071197,13.546834135893489,-11.527259086000155
2.0,463.99887,13.971531,2.7554157,14.240645847845789,-11.156498927883788
2.0,316.00006,14.676577,2.7786732,14.937300197469664,-10.720749373302493
2.0,215.00046,15.378708,2.7735565,15.626812707905481,-10.223420213078079
2.0,146.99995,16.077084,2.7442884,16.309621355673176,-9.686779465335187
2.0,102.00077,16.751589,2.7050202,16.968584746740934,-9.172850920647912
2.0,68.000511,17.48525,2.632796,17.682352285262162,-8.562837160084857
2.0,46.000347,18.177319,2.5183234,18.3509367274466,-7.8876665844254585
2.0,32.00024,18.786917,2.378521,18.936884973836904,-7.215553477327915
2.0,22.000166,19.348763,2.1997027,19.47340036045468,-6.4859375912650075
2.0,14.99895,19.823881,1.9926884,19.923781392136775,-5.740067204785589
2.0,10.000075,20.255219,1.8037964,20.335377503026937,-5.088960411697725
2.0,6.998889,20.562706,1.7261227,20.635027928691816,-4.798406364772788
2.0,4.9988737,20.850357,1.6843278,20.918277825033822,-4.618423184123424
2.0,2.9988587,21.272615,1.77546,21.346578347590626,-4.770976220162836
2.0,2.000015,21.599028,1.9286246,21.684962609894193,-5.102533580415053
2.0,0.99884343,22.281464,2.5546231,22.42743269227108,-6.540538998008698
2.0,0.99884343,22.244146,2.4890356,22.382969630667496,-6.384622108290938
2.0,0.0,0.0,0.0,0.0,
3.0,9997.999,8.8549957,2.2528427,9.137080993291116,-14.274069584634233
3.0,6812.999,9.3950052,2.2059743,9.650515287811709,-13.213847779125738
3.0,4642.0,9.969574,2.2611456,10.222777761737529,-12.778761092655404
3.0,3162.0007,10.542209,2.2995756,10.790098170999018,-12.305200155863808
3.0,2154.0,11.108953,2.3264964,11.349952522165983,-11.828241271775955
3.0,1467.9995,11.677728,2.3630905,11.914425204481091,-11.439822092019295
3.0,998.00061,12.269198,2.4086673,12.503395447849087,-11.106953474293757
3.0,680.99933,12.848274,2.4716125,13.083845502344953,-10.888926794600536
3.0,463.99887,13.461266,2.5305691,13.697060352229993,-10.646715541906628
3.0,316.00006,14.103067,2.5801158,14.337136964816183,-10.367448745440614
3.0,215.00046,14.761868,2.6033399,14.989667290649116,-10.001597131743658
3.0,146.99995,15.419216,2.6179779,15.63988588000387,-9.636167336447254
3.0,102.00077,16.063547,2.6121044,16.274539367297262,-9.23606482969889
3.0,68.000511,16.779297,2.5748367,16.97570593070803,-8.724166541455405
3.0,46.000347,17.466419,2.5007901,17.64453863969866,-8.148063499336695
3.0,32.00024,18.073652,2.3934166,18.231438221880893,-7.54354392005536
3.0,22.000166,18.653826,2.2396891,18.787800076191324,-6.846497673826559
3.0,14.99895,19.154795,2.0447767,19.263625911154108,-6.093255949296475
3.0,10.000075,19.616264,1.8690346,19.70510349259027,-5.442702624033597
3.0,6.998889,19.947618,1.7928199,20.028022045817703,-5.135739069449463
3.0,4.9988737,20.265314,1.7639552,20.34193917664201,-4.974662480897561
3.0,2.9988587,20.684349,1.8282397,20.764988657701142,-5.051109292782835
3.0,2.000015,21.029615,2.0009933,21.12459896033224,-5.435398545270932
3.0,0.99884343,21.830322,2.5073106,21.973838196103937,-6.5519682344303565
3.0,0.99884343,21.724693,2.5494072,21.87376883428324,-6.693086031516989
3.0,0.0,0.0,0.0,0.0,
4.0,9997.999,8.6812029,1.9462034,8.89668429613752,-12.63597957923913
4.0,6812.999,9.3045187,2.1612108,9.552219656220554,-13.076523491567988
4.0,4642.0,9.8654957,2.214673,10.111022792163388,-12.65238998566629
4.0,3162.0007,10.437297,2.2516897,10.677418937706578,-12.174122864574626
4.0,2154.0,10.989296,2.2889547,11.225147669151978,-11.765880571062256
4.0,1467.9995,11.552776,2.3220673,11.783829167630753,-11.364820061817422
4.0,998.00061,12.112109,2.3710783,12.342009428476869,-11.076206615413938
4.0,680.99933,12.68387,2.4294157,12.914434514151463,-10.842874270986735
4.0,463.99887,13.28533,2.4935441,13.517313171911969,-10.630256845570063
4.0,316.00006,13.921922,2.5500674,14.153542168610187,-10.379759546421461
4.0,215.00046,14.582816,2.5983326,14.812489824134184,-10.102808252144031
4.0,146.99995,15.242069,2.608222,15.463618250656765,-9.710399472097233
4.0,102.00077,15.884855,2.6122956,16.09822060579381,-9.33881446140983
4.0,68.000511,16.596519,2.5787435,16.795664945340903,-8.83191372074185
4.0,46.000347,17.279102,2.504637,17.45968420184549,-8.247682625678152
4.0,32.00024,17.894001,2.3916249,18.05311999213158,-7.612757732644143
4.0,22.000166,18.476002,2.2353144,18.61073024818885,-6.89838773828649
4.0,14.99895,18.986645,2.0553763,19.09757209936977,-6.178425554907221
4.0,10.000075,19.447102,1.8988043,19.53958121271033,-5.576651502485363
4.0,6.998889,19.800028,1.7938181,19.881118987035705,-5.176679030725573
4.0,4.9988737,20.105738,1.775367,20.18396959245958,-5.046215558036257
4.0,2.9988587,20.535391,1.8307934,20.616839912953793,-5.094626001714295
4.0,2.000015,20.899607,1.9813995,20.993320764782528,-5.415772856598643
4.0,0.99884343,21.544708,2.5626414,21.696579770790095,-6.783193044218502
4.0,0.99884343,21.551796,2.5080183,21.697236382054534,-6.637748879237038
4.0,0.0,0.0,0.0,0.0,
5.0,9997.999,8.7643614,2.1719022,9.029462327080987,-13.918121768884534
5.0,6812.999,9.2669163,2.1322234,9.509054334617783,-12.957653904154059
5.0,4642.0,9.822608,2.1824269,10.062137700086778,-12.526723913537579
5.0,3162.0007,10.374821,2.2201805,10.609717820687846,-12.078939903544523
5.0,2154.0,10.917065,2.25525,11.147576453055837,-11.671989167523558
5.0,1467.9995,11.461693,2.2905405,11.688326749727237,-11.30128941534023
5.0,998.00061,12.018355,2.3386724,12.243783953522977,-11.01167161176853
5.0,680.99933,12.586347,2.4027696,12.813642439021512,-10.807886316680673
5.0,463.99887,13.177791,2.469805,13.407241042724113,-10.615325554902373
5.0,316.00006,13.806941,2.5375829,14.038195993497649,-10.41419092508636
5.0,215.00046,14.460813,2.5777047,14.688760129478972,-10.107072049615459
5.0,146.99995,15.114023,2.5997665,15.335986342555579,-9.759950293754908
5.0,102.00077,15.763114,2.6027308,15.97654438839215,-9.375814334885966
5.0,68.000511,16.466974,2.5681896,16.666038237632367,-8.864439786066175
5.0,46.000347,17.151321,2.495012,17.331846321877684,-8.276790494871541
5.0,32.00024,17.765276,2.3980098,17.926390667311477,-7.687489747101486
5.0,22.000166,18.349718,2.2385833,18.485762247485575,-6.955458215561095
5.0,14.99895,18.874643,2.0665674,18.987439247992125,-6.24837360932797
5.0,10.000075,19.33157,1.8931167,19.424044107876167,-5.593070936304716
5.0,6.998889,19.674009,1.7921827,19.75546883681226,-5.204932140015934
5.0,4.9988737,19.981014,1.7608126,20.058449129494402,-5.03613986845515
5.0,2.9988587,20.409458,1.8215733,20.490585768616693,-5.100216403861286
5.0,2.000015,20.785646,1.9725444,20.879032809191315,-5.421097491854093
5.0,0.99884343,21.437914,2.4404101,21.576370364998326,-6.494375758387726
5.0,0.99884343,21.441931,2.4592731,21.58250284812085,-6.542924483144983
5.0,0.0,0.0,0.0,0.0,
6.0,9997.999,8.7313156,1.872831,8.92991422474843,-12.106268133486022
