cycle number,Ecell/V,Q discharge/mA.h,Energy discharge/W.h
2.0,3.4233332,0.0,-1.222767108519456e-06
2.0,3.4183314,0.00012855962269836,-1.662365894717785e-06
2.0,3.4133296,0.0004566640089286698,-2.782294308550081e-06
2.0,3.4083278,0.0009617804888884228,-4.503896858485156e-06
2.0,3.4033263,0.001634614722695616,-6.793771283751099e-06
2.0,3.3983245,0.002500598525603612,-9.73666524876466e-06
2.0,3.3933227,0.003577330442667007,-1.33903641114504e-05
2.0,3.3883209,0.004850143293407229,-1.770306252448783e-05
2.0,3.3833191,0.006506315928200881,-2.330642309806919e-05
2.0,3.3783174,0.008906715252896151,-3.141573379828103e-05
2.0,3.3733156,0.01360189476877451,-4.725405597599701e-05
2.0,3.369771,0.02093656866096788,-7.197022737967541e-05
2.0,3.3675261,0.028271265615854,-9.667001047625312e-05
2.0,3.3659508,0.03560595888184177,-0.0001213582273101118
2.0,3.3646512,0.04294065012372202,-0.0001460369050218784
2.0,3.3634696,0.05027533240222268,-0.0001707068858962433
2.0,3.3624849,0.05761002952287594,-0.0001953696944448261
2.0,3.3615792,0.06494471203979518,-0.0002200258104838793
2.0,3.3606734,0.07227938984877533,-0.0002446752672963927
2.0,3.3599644,0.07961406070801946,-0.0002693195000544665
2.0,3.3593342,0.08694874264415767,-0.0002939591481518007
2.0,3.3584678,0.09428342364910576,-0.0003185924382571283
2.0,3.357877,0.101618112810817,-0.000343221422413238
2.0,3.3572469,0.1089527905115816,-0.0003678457462088581
2.0,3.3566167,0.1162874816427959,-0.0003924654932093101
2.0,3.3559079,0.1236221691517035,-0.0004170800290893406
2.0,3.3553958,0.1309568426484532,-0.0004416907616900727
2.0,3.3547657,0.1382915294870734,-0.0004662969171762629
2.0,3.3543324,0.1456262086421251,-0.0004908998694547688
2.0,3.3536236,0.1529608867133988,-0.0005154976191428863
2.0,3.3531115,0.1602955742005838,-0.000540091644145475
2.0,3.3525603,0.1676302497354812,-0.0005646815860233214
2.0,3.3520482,0.1749649165304833,-0.0005892677423477874
2.0,3.3515363,0.1822995980403489,-0.0006138501934860186
2.0,3.3509455,0.1896342891931534,-0.0006384283435982882
2.0,3.3505516,0.196968973744048,-0.0006630035826941043
2.0,3.3500004,0.2043036537200212,-0.000687574763411573
2.0,3.3494096,0.2116383271834585,-0.0007121415889778739
2.0,3.3488581,0.2189730013399654,-0.0007367043720701966
2.0,3.3484643,0.2263076795660125,-0.0007612642798995097
2.0,3.3478734,0.2336423598293132,-0.0007858198612123064
2.0,3.3474798,0.2409770270760191,-0.000810372511808914
2.0,3.3467708,0.2483116816723346,-0.0008349199193714797
2.0,3.3463769,0.2556463439609938,-0.000859464463793511
2.0,3.3457861,0.2629810217930211,-0.0008840047268927593
2.0,3.3452742,0.27031570427782,-0.0009085412510475212
2.0,3.3447623,0.2776503828316927,-0.000933074007542604
2.0,3.3441715,0.2849850707211759,-0.0009576024619203926
2.0,3.3436201,0.2923197579239474,-0.0009821268691991528
2.0,3.3432262,0.2996544241969453,-0.001006648317610087
2.0,3.342675,0.3069891153384248,-0.001031165806105989
2.0,3.3421235,0.3143238051269451,-0.001055679245275416
2.0,3.3416903,0.3216584969697727,-0.001080189513873982
2.0,3.3409812,0.3289931816530227,-0.001104694557839009
2.0,3.3405876,0.3363278769444094,-0.001129196750096306
2.0,3.3400362,0.3436625688862469,-0.00115369488635898
2.0,3.3394847,0.3509972624900936,-0.001178188983366748
2.0,3.3388546,0.3583319578348596,-0.001202678464301131
2.0,3.3383427,0.3656666667101117,-0.001227164235886666
2.0,3.3378701,0.3730013639495438,-0.001251646502648763
2.0,3.33724,0.380336056843996,-0.001276124133022268
2.0,3.3368068,0.3876707469350761,-0.001300598576604397
2.0,3.3361766,0.395005428609583,-0.001325068370223504
2.0,3.3356645,0.4023401208266615,-0.001349534442749117
2.0,3.334995,0.4096748258249626,-0.00137399564747492
2.0,3.3344436,0.4170095528586705,-0.001398452880864182
2.0,3.3338134,0.4243442681596014,-0.001422905453231428
2.0,3.3333015,0.4316789742873774,-0.00144735424049332
2.0,3.3327501,0.4390136656709843,-0.001471798933803597
2.0,3.3321989,0.4463483502248922,-0.001496239561299835
2.0,3.3315291,0.4536830446530381,-0.001520675309523664
2.0,3.3310566,0.4610177171326345,-0.001545107518657878
2.0,3.3304265,0.4683523934454387,-0.001569535118685559
2.0,3.329757,0.4756870760047104,-0.00159395782909798
2.0,3.3291268,0.483021761859854,-0.001618375928603676
2.0,3.3285754,0.4903564429211285,-0.001642789967350813
2.0,3.3279846,0.4976911387939585,-0.00166719972205192
2.0,3.3272758,0.5050258195679055,-0.001691604227547225
2.0,3.3268032,0.5123605018444856,-0.001716005272070193
2.0,3.3261731,0.5196952042291892,-0.001740401761597336
2.0,3.3255033,0.5270298862861262,-0.001764793271343762
2.0,3.3249128,0.534364563592275,-0.001789180433703708
2.0,3.3242431,0.5416992412190637,-0.001813562684965673
2.0,3.3236525,0.5490339218314159,-0.001837940614562707
2.0,3.3229041,0.556368610435327,-0.001862313081469882
2.0,3.3223133,0.5637032877753511,-0.001886681177611781
2.0,3.3216045,0.5710379641072619,-0.001911044071450607
2.0,3.3209743,0.5783726522625157,-0.001935402382679275
2.0,3.3203442,0.5857073581478663,-0.001959756130895339
2.0,3.3197141,0.5930420659843089,-0.001984105263694669
2.0,3.319005,0.6003767594381175,-0.002008449148033101
2.0,3.3182569,0.6077114554841984,-0.002032787553467431
2.0,3.3177054,0.6150461367440556,-0.002057121865038003
2.0,3.3169177,0.6223808231496812,-0.002081450415891631
