cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm
2.0,10001.0,8.4340019,2.2002959
2.0,6746.0,8.911397,1.9182779
2.0,4551.0005,9.3817205,1.8673815
2.0,3070.0,9.8183575,1.8344228
2.0,2071.0005,10.250462,1.8349762
2.0,1397.0001,10.680414,1.8683239
2.0,942.05835,11.15076,1.8977917
2.0,635.3645,11.64077,1.927744
2.0,428.71338,12.137363,1.9412048
2.0,289.13373,12.641953,1.9311496
2.0,195.02592,13.125427,1.9288641
2.0,133.4655,13.601472,1.9273689
2.0,88.668892,14.119561,1.9173831
2.0,59.863087,14.624677,1.8834974
2.0,40.354206,15.1258,1.8105934
2.0,27.236528,15.586527,1.7068999
2.0,18.356367,15.992019,1.5890243
2.0,12.393575,16.337261,1.4837435
2.0,8.3562918,16.64727,1.4281031
2.0,5.6368299,16.922577,1.4249755
2.0,3.8021243,17.188803,1.4867285
2.0,2.5634654,17.47061,1.622991
2.0,1.7299316,17.766916,1.8473518
2.0,1.1664815,18.127932,2.1883838
2.0,0.78696758,18.575634,2.6507676
2.0,0.53085387,19.043587,3.2189593
2.0,0.35855919,19.714937,4.053071
2.0,0.24214387,20.51232,4.9432864
2.0,0.16298145,21.669041,6.2207489
2.0,0.1094304,22.964737,7.8166847
2.0,0.074505806,24.503298,9.3619833
2.0,0.048894435,26.446756,11.33817
3.0,10001.0,8.2512407,2.105587
3.0,6746.0,8.8758926,1.819878
3.0,4551.0005,9.3055506,1.7320722
3.0,3070.0,9.6930199,1.6769162
3.0,2071.0005,10.064634,1.6646875
3.0,1397.0001,10.446989,1.6861974
3.0,942.05835,10.85267,1.7416773
3.0,635.3645,11.301627,1.7938281
3.0,428.71338,11.773071,1.8328594
3.0,289.13373,12.251012,1.8574513
3.0,195.02592,12.736003,1.8598365
3.0,133.4655,13.196651,1.8634449
3.0,88.668892,13.701199,1.8565671
3.0,59.863087,14.190465,1.829093
3.0,40.354206,14.682307,1.7677644
3.0,27.236528,15.138665,1.6614487
3.0,18.356367,15.523493,1.5423604
3.0,12.393575,15.865471,1.4467535
3.0,8.3562918,16.16363,1.3916069
3.0,5.6368299,16.424852,1.3881218
3.0,3.8021243,16.683952,1.4494069
3.0,2.5634654,16.959543,1.5905868
3.0,1.7299316,17.249931,1.8168176
3.0,1.1664815,17.599377,2.1554062
3.0,0.78696758,18.028946,2.6261609
3.0,0.53085387,18.516758,3.1687224
3.0,0.35855919,19.152618,3.9932432
3.0,0.24214387,20.003807,4.862391
3.0,0.16298145,21.127604,6.1244297
3.0,0.1094304,22.37743,7.6099558
3.0,0.074505806,23.948143,9.0381203
3.0,0.048894435,25.926348,10.903893
4.0,10001.0,8.039113,1.8472431
4.0,6746.0,8.7590895,1.7981626
4.0,4551.0005,9.1826382,1.7218202
4.0,3070.0,9.5706015,1.670805
4.0,2071.0005,9.9417448,1.6649083
4.0,1397.0001,10.317363,1.6921246
4.0,942.05835,10.73734,1.745963
4.0,635.3645,11.18649,1.8089217
4.0,428.71338,11.661633,1.8541499
4.0,289.13373,12.150869,1.878559
4.0,195.02592,12.639087,1.8811792
4.0,133.4655,13.10372,1.8801614
4.0,88.668892,13.612657,1.8661348
4.0,59.863087,14.113148,1.8343216
4.0,40.354206,14.595077,1.7623837
4.0,27.236528,15.04269,1.6598839
4.0,18.356367,15.438759,1.5408357
4.0,12.393575,15.778338,1.444132
4.0,8.3562918,16.074106,1.3840857
4.0,5.6368299,16.336821,1.3810488
4.0,3.8021243,16.600998,1.4443245
4.0,2.5634654,16.858112,1.5802497
4.0,1.7299316,17.154776,1.8107892
4.0,1.1664815,17.480913,2.1131642
4.0,0.78696758,17.875986,2.5553224
4.0,0.53085387,18.406378,3.1700611
4.0,0.35855919,19.047937,3.859601
4.0,0.24214387,19.897346,4.8817239
4.0,0.16298145,20.863926,5.9960704
4.0,0.1094304,22.256491,7.2929578
4.0,0.074505806,23.896547,9.0266037
4.0,0.048894435,25.993849,11.225031
5.0,10001.0,8.3267546,1.6768427
5.0,6746.0,8.6416492,1.7796992
5.0,4551.0005,9.0678988,1.701322
5.0,3070.0,9.4527359,1.6543397
5.0,2071.0005,9.8212824,1.6481858
5.0,1397.0001,10.19513,1.6870811
5.0,942.05835,10.610747,1.7446519
5.0,635.3645,11.061269,1.8061922
5.0,428.71338,11.5426,1.8531972
5.0,289.13373,12.024705,1.871302
5.0,195.02592,12.513752,1.8753283
5.0,133.4655,12.982171,1.8813241
5.0,88.668892,13.487358,1.8656456
5.0,59.863087,13.984303,1.8358572
5.0,40.354206,14.471375,1.7634374
5.0,27.236528,14.924696,1.6658891
5.0,18.356367,15.322495,1.5422149
5.0,12.393575,15.658733,1.4443877
5.0,8.3562918,15.956392,1.3844696
5.0,5.6368299,16.218451,1.3786943
5.0,3.8021243,16.483294,1.4346174
5.0,2.5634654,16.746122,1.5692083
5.0,1.7299316,17.030769,1.7732842
5.0,1.1664815,17.379843,2.0940397
5.0,0.78696758,17.752581,2.5531676
5.0,0.53085387,18.255497,3.1191792
5.0,0.35855919,18.94335,3.821408
5.0,0.24214387,19.666561,4.7510633
5.0,0.16298145,20.792645,5.8391852
5.0,0.1094304,22.097208,7.3318624
5.0,0.074505806,23.518183,8.7673168
5.0,0.048894435,25.308653,10.575442
6.0,10001.0,8.2164402,1.6295499
6.0,6746.0,8.6280794,1.7753328
6.0,4551.0005,9.04214,1.6979541
6.0,3070.0,9.4273491,1.6558021
6.0,2071.0005,9.7959061,1.654271
6.0,1397.0001,10.181834,1.6943671
6.0,942.05835,10.593945,1.7564245
6.0,635.3645,11.0493,1.8172717
6.0,428.71338,11.53105,1.8652806
6.0,289.13373,12.021523,1.8860334
6.0,195.02592,12.512542,1.8935808
6.0,133.4655,12.980687,1.8854942
6.0,88.668892,13.490626,1.8761317
6.0,59.863087,13.9875,1.8497826
6.0,40.354206,14.482527,1.7831848
6.0,27.236528,14.946122,1.6774198
6.0,18.356367,15.339115,1.5619521
6.0,12.393575,15.689272,1.461906
6.0,8.3562918,15.981828,1.3936899
6.0,5.6368299,16.250284,1.3846493
6.0,3.8021243,16.518953,1.436604
6.0,2.5634654,16.781622,1.5581455
6.0,1.7299316,17.066225,1.7604567
6.0,1.1664815,17.391476,2.0692146
6.0,0.78696758,17.840521,2.5165436
6.0,0.53085387,18.29929,3.0571496
6.0,0.35855919,18.892908,3.7923069
6.0,0.24214387,19.772358,4.713562
6.0,0.16298145,20.691929,5.8415632
6.0,0.1094304,22.002335,7.0707097
6.0,0.074505806,23.588377,8.7289848
6.0,0.048894435,25.581697,10.897896
7.0,10001.0,8.1465693,2.0493078
7.0,6746.0,8.5735025,1.7598538
7.0,4551.0005,8.9866028,1.6950445
7.0,3070.0,9.3716011,1.653962
7.0,2071.0005,9.7437057,1.6535442
7.0,1397.0001,10.133701,1.6890011
7.0,942.05835,10.543762,1.7570499
7.0,635.3645,10.99743,1.8202016
7.0,428.71338,11.474769,1.8623283
7.0,289.13373,11.966427,1.8821257
7.0,195.02592,12.450065,1.8884712
7.0,133.4655,12.926438,1.8855773
7.0,88.668892,13.431842,1.8787986
7.0,59.863087,13.929871,1.8478938
7.0,40.354206,14.423022,1.7825085
7.0,27.236528,14.883023,1.682467
7.0,18.356367,15.283464,1.5703677
7.0,12.393575,15.63029,1.453961
7.0,8.3562918,15.922309,1.3887352
7.0,5.6368299,16.201374,1.3765119
7.0,3.8021243,16.46118,1.4346954
7.0,2.5634654,16.722122,1.5539497
7.0,1.7299316,17.005571,1.7527375
7.0,1.1664815,17.329039,2.0503206
7.0,0.78696758,17.761457,2.499743
7.0,0.53085387,18.232841,3.0322614
7.0,0.35855919,18.821918,3.7325058
7.0,0.24214387,19.65004,4.6792393
7.0,0.16298145,20.588949,5.7287645
7.0,0.1094304,21.968252,7.0002079
7.0,0.074505806,23.402737,8.6725435
7.0,0.048894435,25.211636,10.817939
8.0,10001.0,8.0465937,2.0441775
8.0,6746.0,8.5837421,1.7605942
8.0,4551.0005,8.9900265,1.6881717
8.0,3070.0,9.3642368,1.6507653
8.0,2071.0005,9.7367163,1.6492761
8.0,1397.0001,10.114944,1.6913104
8.0,942.05835,10.537705,1.754133
8.0,635.3645,10.985793,1.8158023
8.0,428.71338,11.468468,1.8624486
8.0,289.13373,11.961058,1.8844378
8.0,195.02592,12.452135,1.8899117
8.0,133.4655,12.920386,1.8915483
8.0,88.668892,13.429671,1.8827288
8.0,59.863087,13.931014,1.8499691
8.0,40.354206,14.430531,1.7873077
8.0,27.236528,14.884343,1.684953
8.0,18.356367,15.29862,1.5597781
8.0,12.393575,15.636802,1.4588362
8.0,8.3562918,15.938619,1.3866385
8.0,5.6368299,16.213039,1.3714665
8.0,3.8021243,16.478237,1.421698
8.0,2.5634654,16.725779,1.5443031
8.0,1.7299316,17.020859,1.7380955
8.0,1.1664815,17.347301,2.0351553
8.0,0.78696758,17.739395,2.4929831
8.0,0.53085387,18.23307,3.0083356
8.0,0.35855919,18.829767,3.6774662
8.0,0.24214387,19.622215,4.6348686
8.0,0.16298145,20.574976,5.6322341
8.0,0.1094304,21.955906,6.9428978
8.0,0.074505806,23.335619,8.5626945
8.0,0.048894435,25.042639,10.688408
9.0,10001.0,8.1476402,2.0456145
9.0,6746.0,8.5738134,1.7544396
9.0,4551.0005,8.9846878,1.6889578
9.0,3070.0,9.3640671,1.6464069
9.0,2071.0005,9.733716,1.6502248
9.0,1397.0001,10.106611,1.6837199
9.0,942.05835,10.530829,1.7523839
9.0,635.3645,10.981932,1.8195647
9.0,428.71338,11.463235,1.8672262
9.0,289.13373,11.956253,1.8877023
9.0,195.02592,12.448082,1.8984268
9.0,133.4655,12.918681,1.8944166
9.0,88.668892,13.430471,1.8955321
9.0,59.863087,13.931652,1.8673594
9.0,40.354206,14.429193,1.8019701
9.0,27.236528,14.894901,1.7027469
9.0,18.356367,15.297682,1.580233
9.0,12.393575,15.660131,1.470397
9.0,8.3562918,15.965446,1.4010791
9.0,5.6368299,16.235226,1.3824774
9.0,3.8021243,16.490803,1.4196813
9.0,2.5634654,16.758711,1.5445753
9.0,1.7299316,17.036551,1.7412429
9.0,1.1664815,17.35667,2.0382366
9.0,0.78696758,17.779215,2.4420445
9.0,0.53085387,18.237539,2.9731867
9.0,0.35855919,18.832376,3.7107008
9.0,0.24214387,19.675734,4.5520339
9.0,0.16298145,20.586411,5.6914482
9.0,0.1094304,21.814266,6.8695283
9.0,0.074505806,23.410152,8.4551954
9.0,0.048894435,25.414824,10.524163
10.0,10001.0,8.3083429,1.7519746
10.0,6746.0,8.5734539,1.7663289
10.0,4551.0005,8.9836798,1.6886338
10.0,3070.0,9.3618746,1.6476901
10.0,2071.0005,9.7338028,1.6484129
10.0,1397.0001,10.112448,1.692026
10.0,942.05835,10.526171,1.757717
10.0,635.3645,10.980518,1.8203812
10.0,428.71338,11.461193,1.8682476
10.0,289.13373,11.959791,1.8927479
10.0,195.02592,12.452074,1.8969951
10.0,133.4655,12.921711,1.903872
10.0,88.668892,13.435068,1.895878
10.0,59.863087,13.939185,1.8696826
