9997.999,9.0856447,-2.1242318
6812.999,9.5864697,-2.0803511
4642.0,10.151649,-2.1248636
3162.0007,10.704169,-2.1328633
2154.0,11.229812,-2.1348219
1467.9995,11.733469,-2.1469471
998.00061,12.23159,-2.1829438
680.99933,12.750639,-2.2607915
463.99887,13.29636,-2.3474445
316.00006,13.882942,-2.4450152
215.00046,14.512478,-2.5356774
146.99995,15.153706,-2.621439
102.00077,15.814041,-2.658103
68.000511,16.555094,-2.687355
46.000347,17.292349,-2.6417198
32.00024,17.954865,-2.5562041
22.000166,18.584652,-2.4074388
14.99895,19.147194,-2.2275684
10.000075,19.665482,-2.060173
6.998889,20.043222,-1.9476637
4.9988737,20.37921,-1.9131645
2.9988587,20.840158,-1.969645
2.000015,21.231651,-2.1245041
0.99884343,21.963606,-2.6998951
