cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
2.0,9997.999,9.5873861,2.4841325,9.903983365698343,-14.526132842316287
2.0,6812.999,10.30984,2.4469481,10.596242533544313,-13.351596450727477
2.0,4642.0,10.991037,2.4759643,11.266467660728605,-12.695173531229758
2.0,3162.0007,11.643446,2.4641407,11.901337073804461,-11.949377246882543
2.0,2154.0,12.242842,2.4250112,12.480699481883594,-11.203887289110275
2.0,1467.9995,12.817909,2.4001567,13.040687992465577,-10.605831169565294
2.0,998.00061,13.383857,2.4033151,13.597924535249378,-10.180007987500725
2.0,680.99933,13.942059,2.4371762,14.15347437872862,-9.915542347765436
2.0,463.99887,14.51831,2.4902732,14.730335565313448,-9.733022654164715
2.0,316.00006,15.129375,2.5538116,15.34340058718795,-9.581109315463168
2.0,215.00046,15.768593,2.6291382,15.986272013022555,-9.465996677189997
2.0,146.99995,16.4231,2.6835983,16.640910835821547,-9.280335293186914
2.0,102.00077,17.088409,2.715292,17.302789740285956,-9.028630455101771
2.0,68.000511,17.842852,2.7185824,18.04876887101981,-8.663104884439619
2.0,46.000347,18.586918,2.6780691,18.77885978549014,-8.198953006156142
2.0,32.00024,19.243773,2.5740509,19.41516256206267,-7.618672400036962
2.0,22.000166,19.87575,2.4287579,20.023593658464815,-6.966835371773355
2.0,14.99895,20.443142,2.273741,20.569199132859914,-6.346506025480258
2.0,10.000075,20.965656,2.1244974,21.07302115770168,-5.7861604873799095
2.0,6.998889,21.353428,2.0310869,21.44980655732204,-5.433490346281293
2.0,4.9988737,21.695496,2.0192358,21.789260196298947,-5.31729514904754
2.0,2.9988587,22.200661,2.1125026,22.300942044495066,-5.435610464691953
2.0,2.000015,22.613916,2.3221326,22.732828611218597,-5.862925057873554
2.0,0.99884343,23.544201,2.931282,23.725973423485183,-7.096876899028978
2.0,0.99884343,23.432709,2.9176252,23.613648339177832,-7.097416464665551
2.0,0.0,0.0,0.0,0.0,
3.0,9997.999,9.4023914,2.2143757,9.659628552876372,-13.252346443342786
3.0,6812.999,10.198745,2.3541238,10.466914466104681,-12.99764245556173
3.0,4642.0,10.850465,2.3703036,11.106346378192873,-12.322780848525051
3.0,3162.0007,11.473084,2.3319907,11.707682823511341,-11.48928361460692
3.0,2154.0,12.027603,2.2921765,12.244072322261136,-10.789834742905585
3.0,1467.9995,12.565668,2.26916,12.768911441145796,-10.236387274982231
3.0,998.00061,13.088068,2.2815068,13.285435531102104,-9.88841559457369
3.0,680.99933,13.613775,2.3069363,13.807853737742253,-9.617750986581193
3.0,463.99887,14.16516,2.375277,14.362927927561602,-9.519051192471844
3.0,316.00006,14.742784,2.4567251,14.946075681851275,-9.460788622160317
3.0,215.00046,15.365367,2.5281715,15.571966933502694,-9.343558712578785
3.0,146.99995,15.99217,2.5922692,16.200906175710315,-9.207341239900181
3.0,102.00077,16.640623,2.6452396,16.849558640199962,-9.03232231246507
3.0,68.000511,17.375345,2.6655965,17.578623910017452,-8.721893095891048
3.0,46.000347,18.093941,2.6420975,18.285824567434396,-8.30767991898907
3.0,32.00024,18.75345,2.5495002,18.925956730699244,-7.74180378824535
3.0,22.000166,19.390583,2.4117937,19.53999636466826,-7.09001640626716
3.0,14.99895,19.955799,2.2548292,20.08278288608363,-6.4465758073021435
3.0,10.000075,20.484785,2.0938017,20.59151335028943,-5.836078939928106
3.0,6.998889,20.86784,2.0314519,20.96648618838201,-5.560135601423484
3.0,4.9988737,21.21307,1.9867251,21.305900953676424,-5.350469559376858
3.0,2.9988587,21.693537,2.0587523,21.791007516935153,-5.421227400937552
3.0,2.000015,22.097713,2.2337027,22.210320744697864,-5.77202240040198
3.0,0.99884343,22.942291,2.9094925,23.126042958885925,-7.227547229024779
3.0,0.99884343,22.894613,2.8139646,23.066896219253735,-7.007049995260888
3.0,0.0,0.0,0.0,0.0,
4.0,9997.999,9.2876682,2.2518215,9.556750528351857,-13.628542233348993
4.0,6812.999,10.084039,2.2954435,10.341997070934282,-12.82380338713631
4.0,4642.0,10.722926,2.3078632,10.968471842120497,-12.146311116206324
4.0,3162.0007,11.307789,2.2713163,11.533645122127119,-11.357468458704826
4.0,2154.0,11.867493,2.2381346,12.076698083199982,-10.680180297289485
4.0,1467.9995,12.377922,2.2165265,12.574813826187896,-10.15240639997608
4.0,998.00061,12.904685,2.2162662,13.093614123628642,-9.74497905366395
4.0,680.99933,13.402993,2.2565732,13.591627715803845,-9.55688318320182
4.0,463.99887,13.947251,2.3222902,14.139265972108207,-9.453322180703047
4.0,316.00006,14.509973,2.3996811,14.707065847490663,-9.390662811386312
4.0,215.00046,15.11846,2.4841208,15.321184318472012,-9.330919030966227
4.0,146.99995,15.737134,2.5473187,15.941964091457667,-9.194533465293013
4.0,102.00077,16.366283,2.6026106,16.571928106630242,-9.03567144356333
4.0,68.000511,17.090643,2.629946,17.291810030079702,-8.748180629225066
4.0,46.000347,17.801561,2.6139708,17.99245445679865,-8.353580655470646
4.0,32.00024,18.446266,2.5339913,18.61950163810062,-7.821850705617849
4.0,22.000166,19.090187,2.4030418,19.240838068741088,-7.174564138346951
4.0,14.99895,19.672764,2.240483,19.799934532037856,-6.497282039614703
4.0,10.000075,20.183346,2.0890844,20.291173681826276,-5.909376881039177
4.0,6.998889,20.588959,2.0044992,20.686305850646256,-5.560675733461965
4.0,4.9988737,20.921478,1.9619418,21.013268601792326,-5.357326940887278
4.0,2.9988587,21.41054,2.0227525,21.505877121565078,-5.396977863922675
4.0,2.000015,21.805807,2.2157755,21.918094807433636,-5.80213881239614
4.0,0.99884343,22.666077,2.75229,22.83256767895431,-6.923400712216564
