cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm
2.0,9997.999,3.9812081,1.0027885
2.0,6812.999,3.9556847,0.92018151
2.0,4642.0,4.1718717,0.82288963
2.0,3162.0007,4.3430686,0.73140663
2.0,2154.0,4.4883041,0.66135579
2.0,1467.9995,4.6103148,0.61749369
2.0,998.00061,4.7226634,0.59455067
2.0,680.99933,4.8405662,0.61004204
2.0,463.99887,4.9640555,0.63825369
2.0,316.00006,5.1064224,0.68659866
2.0,215.00046,5.2657113,0.7525475
2.0,146.99995,5.447361,0.82455397
2.0,102.00077,5.6463952,0.89732432
2.0,68.000511,5.9022322,0.97712201
2.0,46.000347,6.1754179,1.0373182
2.0,32.00024,6.4468799,1.0716624
2.0,22.000166,6.733108,1.0769448
2.0,14.99895,7.0054851,1.0630217
2.0,10.000075,7.2731133,1.0305271
2.0,6.998889,7.4792666,1.0192889
2.0,4.9988737,7.6604495,1.0259303
2.0,2.9988587,7.9269881,1.113396
2.0,2.000015,8.1457548,1.223739
2.0,0.99884343,8.5395451,1.5965276
2.0,0.99884343,8.5419436,1.5960418
2.0,0.0,0.0,0.0
3.0,9997.999,3.7580175,1.2758532
3.0,6812.999,4.0767674,0.9350909
3.0,4642.0,4.2860746,0.82918328
3.0,3162.0007,4.456008,0.73453319
3.0,2154.0,4.5936441,0.66364568
3.0,1467.9995,4.714201,0.62896913
3.0,998.00061,4.8341923,0.62028831
3.0,680.99933,4.9531951,0.63223171
3.0,463.99887,5.0876169,0.66866326
3.0,316.00006,5.2382598,0.72120112
3.0,215.00046,5.4077706,0.78376764
3.0,146.99995,5.5987267,0.85611856
3.0,102.00077,5.8059464,0.92654365
3.0,68.000511,6.0684929,1.0076323
3.0,46.000347,6.3461351,1.0692525
3.0,32.00024,6.6272645,1.1045218
3.0,22.000166,6.922987,1.1134603
3.0,14.99895,7.2107301,1.0975296
3.0,10.000075,7.482482,1.0686176
3.0,6.998889,7.7009454,1.0559385
3.0,4.9988737,7.8898778,1.0657717
3.0,2.9988587,8.1673803,1.1361653
3.0,2.000015,8.3897438,1.2457607
3.0,0.99884343,8.8286695,1.6536512
3.0,0.99884343,8.8110313,1.611954
3.0,0.0,0.0,0.0
4.0,9997.999,3.5391531,0.9665767
4.0,6812.999,4.0282512,0.92073536
4.0,4642.0,4.232192,0.81158751
4.0,3162.0007,4.3970098,0.72396249
4.0,2154.0,4.5331278,0.66061848
4.0,1467.9995,4.6532602,0.62809938
4.0,998.00061,4.7726502,0.61996764
4.0,680.99933,4.8978786,0.64927149
4.0,463.99887,5.0365281,0.68453795
4.0,316.00006,5.1964827,0.73864466
4.0,215.00046,5.3726234,0.80112898
4.0,146.99995,5.5682039,0.86923635
4.0,102.00077,5.7801385,0.94225705
4.0,68.000511,6.043119,1.0198151
4.0,46.000347,6.3266492,1.0769571
4.0,32.00024,6.6103296,1.1080811
4.0,22.000166,6.9036603,1.1184374
4.0,14.99895,7.1933599,1.0993085
4.0,10.000075,7.473608,1.0645714
4.0,6.998889,7.6855135,1.0510536
4.0,4.9988737,7.8708963,1.0524455
4.0,2.9988587,8.1514072,1.1213512
4.0,2.000015,8.3639631,1.227151
4.0,0.99884343,8.8238277,1.6290555
4.0,0.99884343,8.7823629,1.5801733
4.0,0.0,0.0,0.0
5.0,9997.999,3.7550263,1.2508123
5.0,6812.999,3.9594822,0.9195981
5.0,4642.0,4.1639166,0.81602782
5.0,3162.0007,4.3300548,0.72764713
5.0,2154.0,4.4650927,0.66856724
5.0,1467.9995,4.587945,0.64037776
5.0,998.00061,4.7129421,0.63612843
5.0,680.99933,4.8403945,0.66268164
5.0,463.99887,4.9878159,0.70365435
5.0,316.00006,5.1529541,0.75684816
5.0,215.00046,5.3378882,0.82074106
5.0,146.99995,5.5353208,0.88747942
5.0,102.00077,5.7523627,0.95449221
5.0,68.000511,6.0169387,1.0273001
5.0,46.000347,6.3020091,1.0855393
5.0,32.00024,6.5846047,1.1167176
5.0,22.000166,6.8861089,1.1216792
5.0,14.99895,7.1733513,1.1010537
5.0,10.000075,7.4508481,1.06879
5.0,6.998889,7.6670718,1.0443621
5.0,4.9988737,7.8535633,1.0512071
5.0,2.9988587,8.1182508,1.1122169
5.0,2.000015,8.3387051,1.2242516
5.0,0.99884343,8.8209686,1.553811
5.0,0.99884343,8.7566452,1.5639108
5.0,0.0,0.0,0.0
6.0,9997.999,3.8706686,1.0332781
6.0,6812.999,3.8843346,0.92425424
6.0,4642.0,4.0953622,0.82716691
6.0,3162.0007,4.2654066,0.7421481
6.0,2154.0,4.4100609,0.68138003
6.0,1467.9995,4.5323434,0.65335548
6.0,998.00061,4.6669264,0.66093767
6.0,680.99933,4.7979355,0.67732698
6.0,463.99887,4.9481173,0.71795219
6.0,316.00006,5.1161089,0.76950717
6.0,215.00046,5.3033676,0.82797772
6.0,146.99995,5.5057349,0.89893031
6.0,102.00077,5.7219062,0.96293771
6.0,68.000511,5.9910388,1.0337429
6.0,46.000347,6.2758455,1.0920193
6.0,32.00024,6.5621996,1.1226034
6.0,22.000166,6.8595138,1.1245075
6.0,14.99895,7.1511526,1.0997746
6.0,10.000075,7.4289083,1.0631615
6.0,6.998889,7.6412387,1.0400685
6.0,4.9988737,7.8312263,1.0449865
6.0,2.9988587,8.0951204,1.1090119
6.0,2.000015,8.3215542,1.2170279
6.0,0.99884343,8.7560139,1.5112776
6.0,0.99884343,8.7368536,1.5413121
6.0,0.0,0.0,0.0
7.0,9997.999,3.8380001,1.0634609
7.0,6812.999,3.8640738,0.92103207
7.0,4642.0,4.0727835,0.82576817
7.0,3162.0007,4.2435856,0.74336368
