cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
2.0,9997.999,8.4965153,2.4040761,8.830082340370632,-15.79878010030205
2.0,6812.999,9.312109,2.3473289,9.6034018447973,-14.14796265646994
2.0,4642.0,9.9272394,2.2384222,10.176473654973277,-12.706712788124952
2.0,3162.0007,10.462504,2.1106939,10.673285280995406,-11.405699225085145
2.0,2154.0,10.923532,2.0067639,11.106333900318647,-10.409745359779334
2.0,1467.9995,11.35274,1.9479108,11.518639763112512,-9.736044467864689
2.0,998.00061,11.772169,1.9397985,11.930917030352832,-9.3570212335622
2.0,680.99933,12.193912,1.9817863,12.35390492122275,-9.231147890982829
2.0,463.99887,12.653765,2.0637336,12.820950239627091,-9.262955010465914
2.0,316.00006,13.151478,2.167973,13.328971472443511,-9.360814094769637
2.0,215.00046,13.706278,2.2783439,13.8943480429976,-9.437771314495311
2.0,146.99995,14.292761,2.3711283,14.488107758371411,-9.419418367543493
2.0,102.00077,14.89799,2.4329908,15.09534863038892,-9.27509624239764
2.0,68.000511,15.597618,2.452136,15.789194350454364,-8.934467938112052
2.0,46.000347,16.285088,2.4098423,16.46242482378016,-8.417455371893206
2.0,32.00024,16.895363,2.2863076,17.049354631292843,-7.706543665501043
2.0,22.000166,17.459116,2.1263103,17.588118915715295,-6.943740861334196
2.0,14.99895,17.952871,1.9388133,18.057258212555354,-6.163747172607713
2.0,10.000075,18.382635,1.7627469,18.46695822751231,-5.477456673328595
2.0,6.998889,18.697641,1.6626114,18.77141591975126,-5.081428595061894
2.0,4.9988737,18.957117,1.615844,19.025857057804913,-4.871932996239162
2.0,2.9988587,19.356144,1.674284,19.428420868958753,-4.943713258607614
2.0,2.000015,19.686203,1.8405437,19.77205577750626,-5.341290069374933
2.0,0.99884343,20.335863,2.303792,20.465941989901978,-6.46331963769125
2.0,0.99884343,20.28643,2.3326671,20.42010230004547,-6.559437230375008
2.0,0.0,0.0,0.0,0.0,
3.0,9997.999,8.165123,2.314435,8.486804049484942,-15.825582136280595
3.0,6812.999,8.9375668,2.2108364,9.206948348504364,-13.894033007669115
3.0,4642.0,9.5163851,2.098717,9.74506020595004,-12.43677400029619
3.0,3162.0007,10.027512,1.979704,10.221067695586406,-11.168123761657403
