9997.999,8.4102945,-1.9710244
6812.999,9.135685,-2.1715631
4642.0,9.7284746,-2.2738626
3162.0007,10.318233,-2.3523283
2154.0,10.906281,-2.4053872
1467.9995,11.507158,-2.4831178
998.00061,12.129554,-2.5508232
680.99933,12.763373,-2.6179132
463.99887,13.430153,-2.670253
316.00006,14.107386,-2.7055943
215.00046,14.790056,-2.7339752
146.99995,15.472753,-2.7483053
102.00077,16.140108,-2.7429314
68.000511,16.888983,-2.7203743
46.000347,17.59902,-2.6449792
32.00024,18.257513,-2.5421219
22.000166,18.875717,-2.3790407
14.99895,19.431141,-2.2130103
10.000075,19.934311,-2.0374897
6.998889,20.313911,-1.9287794
4.9988737,20.643639,-1.8829201
2.9988587,21.090546,-1.9527291
2.000015,21.467453,-2.1159029
0.99884343,22.261757,-2.7458203
