cycle number,Ecell/V,Q charge/mA.h,Energy charge/W.h
2.0,3.0911803,4.886501696374682e-07,1.510505789973533e-09
2.0,3.0968146,2.443491617838542e-06,7.564287390815454e-09
2.0,3.1018581,5.864436758889092e-06,1.81755739197859e-08
2.0,3.1071379,1.221770965390735e-05,3.7916069038299355e-08
2.0,3.1122601,2.150318996773826e-05,6.681489895832301e-08
2.0,3.1173036,3.421056770616107e-05,1.064276534540109e-07
2.0,3.1224654,5.131637695762846e-05,1.598399505032188e-07
2.0,3.1275086,7.233193470372094e-05,2.255662889346219e-07
2.0,3.1325915,9.82346945338779e-05,3.067090538418831e-07
2.0,3.1377137,0.0001290245686637031,4.033188628191096e-07
2.0,3.1427178,0.0001647025861673885,5.154448048626703e-07
2.0,3.1477218,0.0002047783894671335,6.415922832563416e-07
2.0,3.1528835,0.0002502311286330224,7.848994759505449e-07
2.0,3.1580057,0.0003000813142789736,9.423266470851822e-07
2.0,3.1630492,0.0003533528500133091,1.110827136693214e-06
2.0,3.1681321,0.0004085807266500261,1.285796343643223e-06
2.0,3.1732149,0.0004662505732973417,1.468795161021145e-06
2.0,3.1782188,0.000525387454032898,1.656745109605547e-06
2.0,3.1832228,0.0005869683738880687,1.852770895928619e-06
2.0,3.1883056,0.0006514815010958248,2.058458461735266e-06
2.0,3.1933885,0.0007184376492102941,2.272275452588439e-06
2.0,3.1984713,0.0007863716119196679,2.489560283136436e-06
2.0,3.2035542,0.0008572390954362021,2.716588104299839e-06
2.0,3.2085583,0.0009300600740644666,2.950238461220858e-06
2.0,3.2135623,0.001004837393826909,3.190540033175889e-06
2.0,3.2185662,0.001082058303654194,3.439080641878874e-06
2.0,3.2236097,0.001159278556803862,3.688008597879627e-06
2.0,3.2286139,0.001243829766313235,3.960991804227929e-06
2.0,3.2336178,0.001326913854347335,4.229653988745498e-06
2.0,3.2386217,0.001412932294938299,4.508235178052635e-06
2.0,3.2437441,0.001500903606745932,4.793591604768362e-06
2.0,3.2487481,0.001594252533184158,5.096858748814866e-06
2.0,3.253752,0.001686621827979883,5.397405525865025e-06
2.0,3.2587562,0.001782903267972999,5.711163261607135e-06
2.0,3.2637601,0.00187722954902384,6.019021613127133e-06
2.0,3.2688036,0.001975954896410306,6.341735383729388e-06
2.0,3.2738075,0.002081031492054463,6.685735933317307e-06
2.0,3.2788117,0.002186597580611706,7.031867258883288e-06
2.0,3.2838156,0.002292164708971978,7.378530244197234e-06
2.0,3.2888985,0.002399685835937659,7.732156313954188e-06
2.0,3.2939026,0.002510139039158821,8.095978411152003e-06
2.0,3.2989066,0.002625970108376609,8.478094285792235e-06
2.0,3.3039105,0.002741799940731791,8.860785684411487e-06
2.0,3.3089147,0.002858119123909209,9.245675935030187e-06
2.0,3.3139579,0.002982748260067569,9.65869164906278e-06
2.0,3.3189621,0.003102489384280311,1.005610790179715e-05
2.0,3.3240056,0.003232004069851505,1.048661544240894e-05
2.0,3.3290095,0.003359074442717764,1.090963392503349e-05
2.0,3.3340135,0.003488587902055847,1.134143354198548e-05
2.0,3.3390176,0.003621523685687118,1.17853084671381e-05
2.0,3.3441792,0.003761790634161896,1.225438627214443e-05
2.0,3.3491833,0.003904990304013093,1.273398821798264e-05
2.0,3.3541873,0.004049655913743708,1.321922376167441e-05
2.0,3.3592701,0.00419872063378493,1.371997241805144e-05
2.0,3.3642743,0.004351205641892222,1.423297380637839e-05
2.0,3.3693175,0.004510043835375045,1.476815011636547e-05
2.0,3.3743217,0.004678170573876965,1.533546381829855e-05
2.0,3.3793256,0.004851183770199618,1.592013174666243e-05
2.0,3.3843691,0.005034948977596231,1.654206104264457e-05
2.0,3.3894124,0.005228977457814748,1.719970358005316e-05
2.0,3.3944559,0.00543913411849075,1.791307109885373e-05
2.0,3.3994601,0.005662486905588045,1.867234998174149e-05
2.0,3.404464,0.005905877961251472,1.950096607023315e-05
2.0,3.4094679,0.006170775512158872,2.040412577626087e-05
2.0,3.4145904,0.006460105407370463,2.139206884694392e-05
2.0,3.4195943,0.006785116121371589,2.250347362803948e-05
2.0,3.4245982,0.007146779778566627,2.37420263436271e-05
2.0,3.4296811,0.007548031376732722,2.511819135123481e-05
2.0,3.4346852,0.007999622412886886,2.666926441322913e-05
2.0,3.4396892,0.008487867815130288,2.834867683044938e-05
2.0,3.4446933,0.009033788109554186,3.022920482569801e-05
2.0,3.4496973,0.009623691767685945,3.226419385651156e-05
2.0,3.4547012,0.01026491449462043,3.447942677124626e-05
2.0,3.4597054,0.01096185156014231,3.689062366738531e-05
2.0,3.4647489,0.01170961618744665,3.948144030694182e-05
2.0,3.4697528,0.01250576591471831,4.224388304324098e-05
2.0,3.4747567,0.01337620434502761,4.526844482628667e-05
2.0,3.4797609,0.01430431366069449,4.849804332016992e-05
2.0,3.4847648,0.01532821357829703,5.206609372647458e-05
2.0,3.489769,0.01641614265683625,5.586271487930432e-05
2.0,3.4947729,0.01766877681778537,6.024038681247245e-05
2.0,3.4998558,0.01912569660213259,6.533939590685707e-05
2.0,3.5048597,0.02092766112251414,7.165502870976059e-05
2.0,3.5099032,0.02322129721121656,7.97054693399766e-05
2.0,3.5149074,0.02737798632376724,9.431584649523252e-05
2.0,3.5168378,0.0347090120792389,0.0001200978752437212
2.0,3.5159316,0.04204004745450286,0.0001458732942264617
2.0,3.5145919,0.04937108863254389,0.0001716389124061401
2.0,3.5131736,0.05670212862829369,0.0001973941284343755
2.0,3.5118339,0.06403316530611781,0.0002231395116069613
2.0,3.5107307,0.07136419860190817,0.0002488767955794416
2.0,3.5097456,0.07869522866086828,0.0002746068460565049
2.0,3.5089576,0.08602624473876425,0.0003003310708178966
2.0,3.5084059,0.0933572934915291,0.0003260513656900815
2.0,3.5077755,0.1006883343841632,0.00035176701165354
2.0,3.5073028,0.1080193695204457,0.0003774791714285823
2.0,3.5071056,0.115350405050483,0.0004031898871084959
2.0,3.5067117,0.1226814434720741,0.0004288977254716719
2.0,3.5066328,0.1300124757526981,0.0004546049637604731
2.0,3.5064752,0.1373434982693858,0.0004803110124805819
2.0,3.5063965,0.1446745328355829,0.0005060165266598981
2.0,3.506357,0.1520055663837327,0.0005317217471256727
2.0,3.5064359,0.1593366066963143,0.0005574275698503669
2.0,3.5065148,0.1666676336783833,0.0005831339243718286
2.0,3.50683,0.1739986624322997,0.0006088425957685721
2.0,3.5068693,0.1813296809975637,0.0006345515198308638
2.0,3.5069876,0.1886607127631042,0.0006602613571204716
2.0,3.5073028,0.1959917480624385,0.0006859735174673861
2.0,3.5074604,0.2033227882878317,0.000711686850424425
2.0,3.5078938,0.2106538375631969,0.0007374033927303647
2.0,3.5081697,0.217984896898634,0.0007631219926008562
2.0,3.5084059,0.2253159446771609,0.000788842284055019
2.0,3.5085635,0.2326470158149799,0.0008145638128008763
2.0,3.5090759,0.2399780822426081,0.0008402890811771156
2.0,3.5095487,0.2473091332040893,0.0008660177612853799
2.0,3.5097849,0.2546401830736466,0.0008917481696892504
2.0,3.510258,0.2619712353946766,0.0009174820544496736
2.0,3.5105336,0.2693023109290336,0.000943218041226354
2.0,3.510967,0.2766333680218128,0.0009689571408731284
2.0,3.5112822,0.28396441785819,0.0009946985257118322
2.0,3.5117157,0.291295485273997,0.001020443149891221
2.0,3.5121098,0.2986265526025494,0.001046190662981166
2.0,3.5124249,0.3059576043876344,0.00107194043215028
2.0,3.5129766,0.3132886499775781,0.001097694224101617
2.0,3.5132525,0.3206197067855796,0.001123450077735919
2.0,3.5137646,0.3279507750754224,0.001149209726118307
2.0,3.5141191,0.33528184841007,0.001174971991300849
2.0,3.5145919,0.3426129047170282,0.001200737662652497
2.0,3.515065,0.3499439822898309,0.001226506876509266
2.0,3.5154984,0.3572750414618519,0.001252279203296865
2.0,3.5158529,0.3646061022197207,0.001278054134728949
2.0,3.5163257,0.3719371638560627,0.00130383253525857
2.0,3.5166802,0.3792682257648972,0.001329613535816212
2.0,3.5172319,0.3865992780088717,0.001355398546931495
2.0,3.5175865,0.3939303410003914,0.001381186194918619
2.0,3.5180595,0.4012614083613621,0.001406977326035188
2.0,3.518611,0.4085924780423774,0.001432772508121433
2.0,3.5191627,0.4159235286006001,0.001458571667466943
2.0,3.5196354,0.4232545662641525,0.001484374247431633
2.0,3.5199902,0.4305856230527494,0.001510179495525399
2.0,3.5205417,0.4379166731165515,0.001535988762744756
2.0,3.5209751,0.4452477223309543,0.001561801204580224
2.0,3.5214875,0.4525787642324964,0.00158761737681111
2.0,3.5220389,0.4599098208102253,0.001613437643524398
2.0,3.5225906,0.4672408639712135,0.001639261907524256
2.0,3.5231423,0.474571917321682,0.001665090251963955
2.0,3.5235755,0.4819029695770807,0.001690921768405484
2.0,3.5241272,0.4892340297993024,0.00171675735746898
2.0,3.5246396,0.4965650800292691,0.001742596667466584
2.0,3.5251517,0.5038961246337162,0.001768439712033606
2.0,3.5257821,0.5112271817915639,0.001794287422195721
2.0,3.5262156,0.5185582238116199,0.001820138256588618
2.0,3.5267279,0.5258892756842243,0.001845992881872654
2.0,3.5273187,0.5332202982569404,0.001871851735001174
2.0,3.5278311,0.5405513094545404,0.001897714304134123
2.0,3.5283432,0.5478823192736507,0.001923580622783525
2.0,3.5290132,0.5552133386155964,0.001949451886494673
2.0,3.5294466,0.5625443560548293,0.001975326321083806
2.0,3.530077,0.5698753839566643,0.002001205413924143
2.0,3.5307074,0.5772064224633244,0.002027089165531022
2.0,3.5311015,0.5845374432584313,0.00205297574380222
2.0,3.5315349,0.5918684689263172,0.002078865516875947
2.0,3.5320864,0.5991995222543677,0.002104759430431112
2.0,3.5326381,0.6065305643618438,0.00213065734889451
2.0,3.5332685,0.6138616047429376,0.002156559882591099
2.0,3.5337808,0.6211926707117094,0.002182466262851974
2.0,3.5343323,0.6285237120227019,0.002208376598769636
2.0,3.5349629,0.6358547546677126,0.002234291562483321
2.0,3.5355537,0.6431857942266266,0.002260210846475024
2.0,3.5361843,0.6505168242618773,0.00228613471986851
2.0,3.5367358,0.657847856288453,0.002312062643090543
2.0,3.5372481,0.665178888721698,0.002337994323889826
2.0,3.5378392,0.6725099194368721,0.002363930331541751
2.0,3.5383513,0.6798409469223354,0.002389870082156058
2.0,3.5390213,0.6871719705653191,0.002415814730639117
2.0,3.5395334,0.6945029948972994,0.002441763135947515
2.0,3.5401638,0.7018340377510257,0.002467716228147685
2.0,3.5407941,0.7091650785691871,0.002493673934473772
2.0,3.5413065,0.7164961210719082,0.002519635402908665
2.0,3.5419369,0.7238271838899785,0.002545601564632455
2.0,3.5425673,0.7311582500483592,0.002571572359535538
2.0,3.5431979,0.7384892938334081,0.002597547698261466
2.0,3.54371,0.745820329526994,0.002623526762710523
2.0,3.5443797,0.7531513742714127,0.002649510768964182
2.0,3.5450103,0.7604824399672283,0.002675499472573241
2.0,3.54568,0.7678134878867533,0.002701493022898369
2.0,3.5462317,0.7751445476268066,0.002727490659685307
2.0,3.5469015,0.7824755928663744,0.002753493154781569
2.0,3.5473742,0.7898066244333982,0.002779499067377404
2.0,3.5478866,0.7971376429229312,0.002805508689714309
2.0,3.5486352,0.8044686583583223,0.002831523789465354
2.0,3.549305,0.8117996876828207,0.002857543848224524
2.0,3.5498567,0.8191307344533669,0.002883568013447881
2.0,3.5504477,0.8264617795061735,0.002909596505511866
2.0,3.551157,0.8337928131202527,0.002935630156830736
2.0,3.5518267,0.8411238538726172,0.002961668743227179
2.0,3.5524571,0.8484548748675321,0.002987711880768238
2.0,3.5529695,0.855785917063488,0.003013758849769057
2.0,3.5536788,0.8631169505563049,0.003039810987715289
2.0,3.5544274,0.8704479757322539,0.003065868584363227
2.0,3.5549788,0.8777790113310352,0.003091930260847192
2.0,3.5555305,0.8851100465779174,0.003117995980616647
2.0,3.5562792,0.8924410992597542,0.003144067250654391
2.0,3.5568309,0.8997721517992022,0.003170142564731787
2.0,3.5575399,0.9071031945409048,0.003196223042086364
2.0,3.5580916,0.9144342361360792,0.003222307559902109
2.0,3.5588009,0.9217652865074412,0.003248397308823708
2.0,3.55951,0.9290963413462046,0.00327449227177858
2.0,3.5601406,0.936427389715314,0.003300591834789425
2.0,3.5608892,0.9437584202459788,0.003326696822554088
2.0,3.5615983,0.9510894589294,0.00335280703747304
2.0,3.5622683,0.9584204906055664,0.003378922138905145
2.0,3.5630562,0.9657515430440508,0.003405043090972538
2.0,3.5636866,0.973082597157856,0.003431168670349727
2.0,3.5644352,0.9804136544484896,0.00345729974932936
2.0,3.5651839,0.9877447124176226,0.003483436319009193
2.0,3.5658145,0.9950757817274334,0.003509577552218601
2.0,3.5664842,1.002406842325264,0.003535723664104396
2.0,3.5671542,1.009737895489931,0.003561874660964507
2.0,3.567745,1.017068943553335,0.003588029970819903
2.0,3.5685332,1.024399985102912,0.003614191035849245
2.0,3.5692422,1.031731034962105,0.003640357328662878
2.0,3.5698333,1.039062098022799,0.003666528001544871
2.0,3.5705819,1.046393154416283,0.003692704138906587
2.0,3.5713701,1.053724205237627,0.00371888603479345
2.0,3.5719612,1.061055257602367,0.003745072269135031
2.0,3.5727098,1.068386318251292,0.003771264021351136
2.0,3.5733795,1.075717390766707,0.00379746072571244
2.0,3.5740495,1.083048464715447,0.00382366234669406
2.0,3.5747192,1.090379503901733,0.003849868753160298
2.0,3.5754678,1.09771056629267,0.00387608073086169
2.0,3.5761771,1.105041633599698,0.003902297926031795
2.0,3.5768075,1.112372697685758,0.003928519731029964
2.0,3.5776744,1.119703761892484,0.003954747891685643
2.0,3.578423,1.127034830631514,0.003980981556846225
2.0,3.5790927,1.134365886563758,0.004007220085917276
2.0,3.5799203,1.141696944226887,0.004033464688006606
2.0,3.58059,1.149027997597721,0.004059714184466712
2.0,3.5815358,1.156359034967389,0.004085970557376026
2.0,3.5822449,1.163690070431431,0.004112232121581214
2.0,3.5829542,1.171021113426586,0.004138498912638835
2.0,3.5838211,1.178352165113455,0.004164772090053529
2.0,3.5847273,1.185683213306201,0.004191051898554522
2.0,3.5855153,1.193014279802276,0.004217337549353376
2.0,3.5863032,1.200345340366761,0.004243628955565173
2.0,3.5872095,1.207676408306161,0.004269927031852163
2.0,3.5879188,1.215007468343575,0.004296230279679302
2.0,3.5886674,1.222338515400058,0.004322538969205477
2.0,3.5894554,1.229669570119116,0.004348853462906224
2.0,3.5904012,1.237000616550445,0.004375174860609933
2.0,3.5912285,1.244331657750076,0.004401502304591545
2.0,3.5920954,1.251662716089354,0.004427836165346367
2.0,3.5928833,1.258993787708282,0.004454175850492417
2.0,3.5938292,1.266324868530101,0.004480522502487298
2.0,3.5946565,1.273655953392651,0.004506875234101799
2.0,3.5956416,1.280987012301815,0.004533235094582994
2.0,3.5965085,1.288318073950178,0.004559601320137055
2.0,3.5973358,1.295649145426253,0.004585973646123416
2.0,3.5982814,1.302980211396217,0.004612352884324453
2.0,3.5991876,1.310311282718579,0.004638738785414497
2.0,3.6000545,1.317642354159388,0.004665131042163038
2.0,3.6009214,1.324973436626129,0.004691529693847275
2.0,3.6018276,1.33230452120559,0.004717934996780837
2.0,3.6028914,1.339635578146411,0.004744347999116899
2.0,3.6038373,1.346966644181344,0.004770767967987993
2.0,3.6046252,1.354297703397936,0.004797193688966582
2.0,3.6056497,1.361628748726248,0.00482362687042642
2.0,3.6065559,1.368959784518149,0.004850066661098672
2.0,3.6075804,1.376290822314752,0.004876513969536575
2.0,3.608526,1.383621851430568,0.004902968178644999
2.0,3.6096685,1.390952892280949,0.004929430805825501
2.0,3.6105354,1.398283950314985,0.00495589985025386
2.0,3.6116781,1.405614999405145,0.004982377239874907
2.0,3.6125844,1.412946063197553,0.005008861326218489
2.0,3.6137271,1.420277110155821,0.005035353729229751
2.0,3.6149089,1.427608162741164,0.005061854816713491
2.0,3.6158941,1.434939216111667,0.005088363129190251
2.0,3.6170762,1.442270260911948,0.005114880076554417
2.0,3.6181793,1.44960130149944,0.005141405096011609
2.0,3.6193614,1.456932341374192,0.005167938778760578
2.0,3.6204252,1.464263401893079,0.005194480335184058
2.0,3.6216466,1.471594449748629,0.005221030800037471
2.0,3.6228683,1.478925499739448,0.005247590228651146
2.0,3.6240897,1.486256556808385,0.005274158637195763
2.0,3.6253111,1.493587600185738,0.005300735950391982
2.0,3.6264539,1.500918664156099,0.005327321715746131
2.0,3.6275964,1.508249721808467,0.005353915833935161
2.0,3.6288967,1.51558078273346,0.005380519496830556
2.0,3.6303151,1.522911872738567,0.005407133663321779
2.0,3.6316154,1.530242973153359,0.005433757400489391
2.0,3.6328368,1.537574069409602,0.005460390076890468
2.0,3.6340582,1.544905181053215,0.00548703176354586
2.0,3.6355162,1.552236272077527,0.005513684063484203
2.0,3.6369741,1.5595673765559,0.0055403471005693
2.0,3.6382744,1.566898469309012,0.005567019627885914
2.0,3.6396928,1.574229565939075,0.005593702567384439
2.0,3.641269,1.581560662665764,0.005620397062401006
2.0,3.6426873,1.58889175832149,0.005647101951593026
2.0,3.6443028,1.596222848526372,0.005673818664483636
2.0,3.6458788,1.603553931912084,0.005700546905920589
2.0,3.6474943,1.610885019073022,0.005727287004670953
2.0,3.6490705,1.618216104111241,0.005754038650826639
2.0,3.650804,1.625547197170953,0.005780803035007297
2.0,3.6524196,1.632878296296364,0.005807579284901361
2.0,3.654429,1.640209377995696,0.005834370202163407
2.0,3.6563993,1.647540466305448,0.00586117558796109
2.0,3.6583297,1.65487154541009,0.005887995092567875
2.0,3.660418,1.662202639389932,0.005914829961177705
2.0,3.6625459,1.669533718823426,0.00594168037624178
2.0,3.6648312,1.676864802656968,0.005968547560722507
2.0,3.6674316,1.684195878216756,0.005995433778840714
2.0,3.6701899,1.691526963595582,0.006022340254042421
2.0,3.6729085,1.6988580488499,0.00604926665971376
2.0,3.6759818,1.706189139688313,0.006076215615916851
2.0,3.6793704,1.713520225514803,0.006103189396130814
2.0,3.682956,1.720851309380498,0.006130189455296065
2.0,3.6870933,1.72818239116566,0.00615721983751928
2.0,3.6916637,1.735513466220995,0.006184283701491418
2.0,3.6966677,1.742563522843884,0.006210345417889407
2.0,3.7016718,1.748787117538618,0.006233383123106761
2.0,3.7066758,1.754272240671251,0.006253714696106431
2.0,3.7117193,1.759113200496369,0.006271682979996504
2.0,3.7167232,1.763361811299357,0.006287473890351287
2.0,3.7217274,1.767173976987567,0.006301661731736708
2.0,3.7267313,1.770580487294694,0.006314356880323255
2.0,3.7317355,1.773612134675781,0.006325670186381457
2.0,3.7367394,1.776359339222213,0.00633593577384186
2.0,3.7417436,1.778834313860403,0.006345196494266871
2.0,3.7467475,1.781113794254296,0.006353737131719729
2.0,3.7517514,1.783198761568864,0.006361559410808821
2.0,3.7567949,1.785089699120952,0.006368663275416514
2.0,3.7617989,1.786848182916972,0.006375278337753325
2.0,3.766803,1.788467867926856,0.006381379372150044
2.0,3.771807,1.789952171198063,0.006386977877552214
2.0,3.7768111,1.791365112502244,0.00639231428998584
2.0,3.7818151,1.792662718194557,0.006397221594724635
2.0,3.7868192,1.793874310383134,0.006401809675310642
2.0,3.7918231,1.795010633110868,0.006406118410134086
2.0,3.7968667,1.796083909076783,0.00641019349586106
2.0,3.8000581,1.796726114280919,0.006412633912965885
3.0,3.4419744,4.886720577875773e-07,1.681996713620464e-09
3.0,3.4470572,7.819475233554841e-06,2.6951694928166233e-08
3.0,3.4520614,4.105339941051272e-05,1.41677242239127e-07
3.0,3.4570653,0.0001583495325512356,5.471776390883346e-07
3.0,3.4621089,0.0004432874205708504,1.533663623037873e-06
3.0,3.4671128,0.0009266521658500036,3.20954370861169e-06
3.0,3.4721169,0.001607956420282523,5.575111756608636e-06
3.0,3.4771209,0.002498445114658939,8.671448585944915e-06
3.0,3.482125,0.003651387835244338,1.268613930744181e-05
3.0,3.4871683,0.005120542929602994,1.780933039800958e-05
3.0,3.4921725,0.007165436136722565,2.495045017969388e-05
3.0,3.4971764,0.01058418101860417,3.690640412820555e-05
3.0,3.5016682,0.01791530542691549,6.257756944751888e-05
3.0,3.5029685,0.02524641651488013,8.825822102322412e-05
3.0,3.5033231,0.03257752650717894,0.0001139414678477411
3.0,3.5032837,0.03990863573438591,0.0001396244235929077
3.0,3.5029292,0.04723974825554424,0.0001653047917899293
3.0,3.502811,0.05457085919903384,0.000190984287515454
3.0,3.5025351,0.06190199137846629,0.0002166618353314902
3.0,3.5024562,0.06923310762312677,0.0002423387487890288
3.0,3.5023775,0.07656423220743735,0.0002680151146566454
3.0,3.5023775,0.08389534862839514,0.0002936914519331186
3.0,3.5022593,0.09122645318137276,0.0003193668806991658
3.0,3.5022199,0.09855754926330514,0.0003450419913989472
3.0,3.5023382,0.1058886436370677,0.0003707179630594178
3.0,3.5024168,0.1132197476310862,0.000396394545210839
3.0,3.5026534,0.1205508669397235,0.0004220729148924874
3.0,3.5026138,0.1278819808187419,0.0004477509754090197
3.0,3.5028896,0.1352130938330293,0.0004734310551864286
3.0,3.5030472,0.1425441942387819,0.0004991122461399601
3.0,3.5032837,0.1498753005862898,0.0005247951917967238
3.0,3.5035203,0.1572064087945554,0.0005504798778616726
3.0,3.5037959,0.1645375061991479,0.0005761665466132536
3.0,3.5040324,0.1718686013390952,0.0006018549413163118
3.0,3.5043476,0.1791997048507134,0.0006275456760398118
3.0,3.5047417,0.1865307983379894,0.0006532392648618116
3.0,3.5050175,0.1938618944402536,0.0006789348851336997
3.0,3.5053327,0.2011929876423876,0.0007046328059231665
3.0,3.505569,0.2085240980961257,0.0007303325193273267
3.0,3.5060418,0.2158551980079876,0.0007560356618032642
3.0,3.5063965,0.2231863314449456,0.0007817415226626734
3.0,3.5067904,0.2305174283266068,0.0008074501428254638
3.0,3.5071452,0.2378485243883729,0.0008331613609428798
3.0,3.5077362,0.2451796233476864,0.0008588769221926335
3.0,3.5080121,0.25251071556641,0.0008845944820821347
3.0,3.5083666,0.2598418208180865,0.0009103146867766058
3.0,3.5087211,0.2671729267295864,0.0009360374928714272
3.0,3.5091152,0.2745040275388625,0.0009617631702941332
