cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
5.0,10001.0,8.1555471,1.9821615,8.392968051434526,-13.660559800312301
5.0,6814.0005,8.8483353,2.3719983,9.160753981874471,-15.00660926719307
5.0,4642.999,9.471199,2.4159708,9.774483382974962,-14.310181365240483
5.0,3162.9995,10.087214,2.4365594,10.377316993882587,-13.579637055098956
5.0,2154.9988,10.700299,2.457248,10.978818990351602,-12.933332207040463
5.0,1467.5315,11.338075,2.4684606,11.60367366136162,-12.28244148010213
5.0,1001.9983,11.971563,2.4343529,12.216562311252188,-11.494075391093853
5.0,681.3183,12.604252,2.369648,12.825069205404235,-10.647541197293235
5.0,464.07104,13.178007,2.2903736,13.375562781416935,-9.859671919405132
5.0,316.36792,13.712349,2.2016535,13.887972970590893,-9.12155381790625
5.0,215.35437,14.222198,2.1427023,14.382701036232008,-8.567689770761852
5.0,146.82532,14.715369,2.1062145,14.865336334108665,-8.145436910769877
5.0,101.97982,15.200384,2.0867538,15.342953274036601,-7.816871760400518
5.0,68.114601,15.740952,2.0657117,15.875916814276298,-7.476298865905619
5.0,46.39616,16.271715,2.0264041,16.397409021480247,-7.098803252828872
5.0,31.609087,16.785837,1.939703,16.89753743948443,-6.591631088347392
5.0,21.534506,17.264114,1.8254105,17.360350102993497,-6.035708164480874
5.0,14.679972,17.688711,1.6948433,17.769721175445493,-5.4730855879485985
5.0,10.000075,18.036085,1.584149,18.105520986191642,-5.019533012144159
5.0,6.8149529,18.365114,1.5357078,18.429210799162746,-4.780005386378718
5.0,4.6403146,18.65283,1.5363255,18.715992173829587,-4.7084932233526064
5.0,3.16184,18.924637,1.6005396,18.992198729818966,-4.834251225771602
5.0,2.1560116,19.222771,1.7550547,19.302723691708202,-5.216688410846502
5.0,1.466833,19.555565,1.9602981,19.65357196822218,-5.724347655326369
5.0,0.99884343,19.947519,2.2755644,20.076894869324498,-6.508029173941229
6.0,10001.0,8.8028755,1.9375627,9.01358786970713,-12.413192655376205
6.0,6814.0005,9.2976732,2.3117523,9.580758092685231,-13.962758604540474
